work_id,title,year,venue,doi,arxiv_id,official_paper_url,project_url,code_url,code_status,license,last_verified,screening_status,real_robot_tier,topic_evidence_tier,efficiency_claim_tier,peer_review_status,robot_platform,embodiment,tasks,real_robot_training,evidence_locator,success_definition,success_result,evaluation_trials,reported_phase_duration,real_steps,real_episodes,control_frequency_hz,robot_hours,wall_clock_hours,num_parallel_robots,compute,demo_count,reset_type,reward_engineering,prior_data,wear_safety,claimed_reduction,reduction_type,hidden_or_displaced_cost,source_verified_against_original,source_grade,limitations
haarnoja2019walk,Learning to Walk via Deep Reinforcement Learning,2019,Robotics: Science and Systems XV,10.15607/RSS.2019.XV.011,1812.11103,https://doi.org/10.15607/RSS.2019.XV.011,https://sites.google.com/view/minitaur-locomotion/,,project_only,NR,2026-07-31,included_core,R3,core,E1,peer_reviewed,Ghost Robotics Minitaur,quadruped,learn locomotion from scratch; terrain and perturbation tests,true,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,stable forward locomotion and completion of robustness tests,learned from scratch in approximately 2 h; 10/10 successes in each reported robustness test,10,approximately 2 h,160000 control steps,approximately 400 rollouts,50,approximately 2,approximately 2,1,NR,0,manual episodic reset,hand-designed velocity and stability reward,none reported,manual resets identified as a critical limitation,Approximately two-hour from-scratch physical learning,physical interaction and elapsed time,"Reset labor, setup time, reward design and hardware wear are not quantified",true,A,Single reported hardware learning run; no uncertainty on time-to-threshold
zhan2022ferm,Learning Visual Robotic Control Efficiently with Contrastive Pre-training and Data Augmentation,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS47612.2022.9981055,2012.07975,https://doi.org/10.1109/IROS47612.2022.9981055,https://sites.google.com/view/efficient-robotic-manipulation/home,,project_only,NR,2026-07-31,included_core,R3,core,E2,peer_reviewed,UFACTORY xArm with two cameras,fixed-base manipulation,six visual manipulation tasks,true,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,task-specific successful completion,optimal policies within 15–50 min and 20–80 episodes; first success mean 11 min with 3–33 min range,NR,mean under 30 min; 15–50 min task range,NR,20–80 episodes,NR,NR,0.25–0.83 h,1,NR,10,human/environment task reset,task-specific sparse rewards,10 demonstrations collected in under 10 min,Reset labor and wear NR,Demonstrations plus representation pre-training reduce online physical interaction,online episodes and elapsed time,"Ten demonstrations, two cameras, augmentation and task setup precede online RL",true,A,No study-wide robot-hour total or operator-time accounting
tebbe2021tabletennis,Sample-efficient Reinforcement Learning in Robotic Table Tennis,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48506.2021.9560764,2011.03275,https://doi.org/10.1109/ICRA48506.2021.9560764,,,no_official_release_located,NR,2026-07-31,included_core,R3,core,E1,peer_reviewed,KUKA Agilus KR 6 R900 sixx,industrial arm,returning table-tennis balls under three scenarios,true,PDF p.5 Sec. IV; p.6 Sec. V,accurate ball return under task-specific landing criteria,learning curves reach accurate returns within 200 ball contacts; final 50 episodes reported,50,NR,NR,200,NR,NR,NR,1,NR,0,ball launcher supplies the next trial; no simulation reset,task-specific return and landing reward,30 random warm-up actions,"Physical cycle time, ball handling labor and wear NR",Physical policy optimization from 200 ball-contact episodes without simulation pretraining,physical episode count,"Ball launcher, vision/calibration and 30-action warm-up are prerequisite costs",true,A,Elapsed training time and repeated-run uncertainty are not reported
wu2023daydreamer,DayDreamer: World Models for Physical Robot Learning,2023,"Proceedings of the 6th Conference on Robot Learning, PMLR 205",,2206.14176,https://proceedings.mlr.press/v205/wu23c.html,https://danijar.com/daydreamer,https://github.com/danijar/daydreamer,official_public,MIT,2026-07-31,included_core,R3,core,E2,peer_reviewed,Unitree A1; UR5; xArm; Sphero Ollie,legged and fixed-base/mobile robots,quadruped walking; pick-and-place; object sorting; navigation,true,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,task-specific reward and success curves,A1 learns walking in 1 h and adapts to pushes in 10 min; UR5 8 h; xArm 10 h; Sphero about 2 h,NR,10 min adaptation; 1–10 h from-scratch task runs,NR,NR,NR,1; 8; 10; approximately 2 by task,same as disclosed run durations,1,onboard/desktop learning stack; exact accelerator by task in appendix,0,task-dependent automatic continuation; human redirects A1 at area boundary,hand-designed proprioceptive or vision-based rewards,none for main online runs,Hardware wear/repair and occasional human redirection disclosed qualitatively,World-model RL learns several physical behaviors within hours,physical elapsed time across embodiments,"Task-specific reward engineering, infrastructure, human redirection and repairs sit outside headline time",true,A,One main run per robot/task; operational burden is qualitative rather than totaled
kalashnikov2018qtopt,Scalable Deep Reinforcement Learning for Vision-Based Robotic Manipulation,2018,"Proceedings of the 2nd Conference on Robot Learning, PMLR 87",,1806.10293,https://proceedings.mlr.press/v87/kalashnikov18a.html,,,no_official_release_located,NR,2026-07-31,included_core,R4,core,E2,peer_reviewed,seven KUKA robot arms,fixed-base manipulation fleet,vision-based grasping of seen and unseen objects,true,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,successful grasp detected by gripper/object state,96% success on unseen objects after the full collection; 78% after the initial 320k attempts,NR,320k-attempt checkpoint after approximately 440 robot-hours; final 580k after approximately 800 robot-hours,NR,580000,NR,800,NR,7,10 NVIDIA P100 GPUs; training reports approximately 40 updates/s at batch 32,0,automatic grasp-and-drop collection cycle with fleet infrastructure,automated grasp success labeling and shaped training pipeline,existing grasp data are progressively aggregated,"Fleet maintenance, object replenishment and operator labor NR",Scales physical RL through seven-robot fleet data collection,aggregate physical attempts and robot-hours,"Seven robots, approximately 800 robot-hours and ten P100s replace single-robot elapsed time",true,A,No matched end-to-end cost baseline or operator-hour total
kalashnikov2022mtopt,Scaling Up Multi-Task Robotic Reinforcement Learning,2022,Proceedings of the 5th Conference on Robot Learning (PMLR 164),,2104.08212,https://proceedings.mlr.press/v164/kalashnikov22a.html,https://karolhausman.github.io/mt-opt/,,project_only,NR,2026-08-01,included_core,R4,core,E2,peer_reviewed,six to seven KUKA IIWA robots,fixed-base manipulation fleet,12 manipulation skills,true,"PDF p.1 abstract; pp.15–17 appendix, Table IV",task-specific binary success detector and held-out evaluation,"paper reports gains across 12 tasks; 8,400 held-out evaluations are implied by 12 tasks × 100 trials × 7 checkpoints",8400,16-month collection program; per-task threshold NR,NR,nearly/over 800000 episodes,NR,NR,16-month program span,6-7,distributed learner; exact accelerator count NR,0,actuated reset bins and continuous fleet cycling,task-specific success detectors taking about 30 min to author per task,continually accumulated multi-task fleet replay,24/7 fleet operation implies maintenance and object-management costs that are not totaled,Continuous multi-task learning from a large robot fleet,fleet episodes and long-horizon program time,"Six to seven robots, actuated fixtures, detector authoring and 16 months of operations",true,A,Aggregate robot-hours and staffing are NR; canonical metadata uses the 2022 PMLR proceedings paper.
riedmiller2018sacx,Learning by Playing: Solving Sparse Reward Tasks from Scratch,2018,"Proceedings of the 35th International Conference on Machine Learning, PMLR 80",,1802.10567,https://proceedings.mlr.press/v80/riedmiller18a.html,,,no_official_release_located,NR,2026-07-31,included_core,R3,core,E1,peer_reviewed,Kinova Jaco arm,fixed-base manipulation,bring and lift tasks with sparse rewards,true,PDF p.8 Sec. 5.4 and physical-robot figure,successful object lift,"approximately 100% lift success after approximately 1,200 episodes and 10 h",50,approximately 10 h for lift,NR,approximately 1200 episodes,NR,approximately 10,approximately 10,1,NR,0,human/fixture reset burden NR,auxiliary-task reward set plus sparse main reward,none reported for lift from scratch,Physical resets and safety overhead not quantified,Auxiliary-intention scheduling solves a sparse physical task within about 10 h,physical episodes and elapsed time,Multiple auxiliary rewards and robot setup are design costs,true,A,Single hardware learning curve; bring-task time and intervention burden NR
nair2020awac,AWAC: Accelerating Online Reinforcement Learning with Offline Datasets,2020,arXiv preprint,,2006.09359,https://arxiv.org/abs/2006.09359,https://awacrl.github.io/,https://github.com/rail-berkeley/rlkit,official_public,MIT,2026-07-31,included_core,R3,core,E2,preprint,D'Claw; Sawyer; dexterous hand,dexterous and fixed-base manipulation,valve rotation; drawer opening; dexterous manipulation,true,PDF p.8 Sec. 6.3; p.17 appendix robot-experiment details,task-specific return/success curves,"physical curves reported to 20k, 40k and 50k online timesteps depending task",NR,NR,20000; 40000; 50000 by task,NR,NR,NR,NR,1,NR,10; 10; 19 kinesthetic demonstrations by task,task-dependent environment reset,task-specific rewards,200; 500; 50 behavior-cloned prior trajectories in addition to 39 demonstrations,Hardware safety and reset labor NR,Offline data accelerates subsequent physical online learning,online physical timesteps,"Prior-data collection, behavior cloning and demonstrations are displaced costs",true,B,Physical elapsed time and matched robot-hour totals are NR; preprint status
singh2021cog,COG: Connecting New Skills to Past Experience with Offline Reinforcement Learning,2021,"Proceedings of the 5th Conference on Robot Learning, PMLR 155",,2010.14500,https://proceedings.mlr.press/v155/singh21a.html,https://sites.google.com/view/cog-rl,https://github.com/avisingh599/cog,official_public,NR,2026-07-31,included_core,R2,core,E2,peer_reviewed,WidowX robot,fixed-base manipulation,new visual manipulation tasks from prior grasp data,false,PDF p.8 Sec. 5.2 and real-robot table,success over eight evaluation attempts,COG succeeds on 7/8 attempts while the behavior-cloning oracle succeeds on 0/8,8,NR,160000,approximately 4000 new-task grasp attempts,NR,54,NR,1,NR,0,automatic grasp collection cycle,task classifiers and offline RL objective,80k prior transitions/20 h plus 80k new-task transitions/34 h,"Wear, object replacement and human oversight NR",Reuse 20 h of prior experience to learn from a 34 h new-task batch,offline dataset reuse and robot-hours,Total 54 robot-hours and automated collection infrastructure remain required,true,A,Offline training only for the main comparison; eight evaluation attempts give wide uncertainty
kumar2023ptr,Pre-Training for Robots: Offline RL Enables Learning New Tasks in a Handful of Trials,2023,Robotics: Science and Systems XIX,10.15607/RSS.2023.XIX.019,2210.05178,https://roboticsproceedings.org/rss19/p019.html,https://sites.google.com/view/ptr-final/,https://github.com/Asap7772/PTR,official_public,NR,2026-08-01,included_core,R3,core,E3,peer_reviewed,robot arms across kitchen and door setups,fixed-base manipulation,offline transfer to new kitchen and door tasks; online door fine-tuning,true,PDF pp.7–9 Sec. 5; pp.14–16 appendix; p.21 appendix,task-specific success over 10 or 20 physical rollouts,online door fine-tuning improves in-distribution 53% to 73% and OOD 13% to 60% over two seeds,10-20,NR,20000,NR,NR,NR,NR,1,NR,10–20 target demonstrations; 40 door demonstrations in online study,learned reset policy using 22 close-door demonstrations,reward classifier from approximately 20 positive and 20 negative trajectories,"1,850 trajectories/31 tasks; Bridge dataset 5,920 trajectories/80 tasks in another setup",Reset-policy failures and safety burden NR,Offline pre-training reduces target demonstrations and supports 20k-step physical fine-tuning,target demonstrations and online steps,"Large prior datasets, reset demonstrations and reward-label trajectories are displaced costs",true,A,Physical wall-clock and operator time NR; only two online seeds; local evidence uses the longer arXiv appendix.
chebotar2023qtransformer,Q-Transformer: Scalable Offline Reinforcement Learning via Autoregressive Q-Functions,2023,"Proceedings of the 7th Conference on Robot Learning, PMLR 229",,2309.10150,https://proceedings.mlr.press/v229/chebotar23a.html,https://qtransformer.github.io/,,project_only,NR,2026-07-31,included_core,R2,core,E2,peer_reviewed,fleet of 13 real robots,fixed-base manipulation fleet,more than 700 tasks; 72-task physical evaluation subset,false,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,per-task binary success,Q-Transformer average success 56% on the reported real-task table,NR,NR,NR,58000,NR,NR,NR,13,"reported training jobs take 32 h, 163 h and 40 h for three model/data settings",38000,dataset contains demonstrations and autonomous failure episodes,automatic success labels in robot dataset,38k demonstrations plus 20k autonomous failed episodes,Fleet operation and dataset curation labor NR,Offline Q-learning scales to a 58k-episode physical dataset,offline physical-data scale and compute,"Thirteen-robot fleet, 58k prior episodes and up to 163 h model training",true,A,No online physical learning or end-to-end robot-hour total; evaluation denominator per aggregate NR
nair2018rig,Visual Reinforcement Learning with Imagined Goals,2018,Advances in Neural Information Processing Systems 31,,1807.04742,https://proceedings.neurips.cc/paper/2018/hash/7ec69dd44416c46745f6edd947b470cd-Abstract.html,https://sites.google.com/site/visualrlwithimaginedgoals/,https://github.com/vitchyr/rlkit,official_public,MIT,2026-07-31,included_core,R3,core,E2,peer_reviewed,Sawyer robot,fixed-base manipulation,visual reaching and pushing,true,PDF pp.8–9 Sec. 5.3,final distance to goal over physical evaluation rollouts,reaching learns from 10k samples in about 1 h; pushing uses about 25k samples and reaches 4.5±2.5 cm versus HER 14.9±5.4 cm,15,about 1 h for reaching; pushing elapsed time NR,10000 reach; approximately 25000 push,NR,NR,about 1 for reach,about 1 for reach,1,NR,0,task-dependent automatic episode cycling; exact reset labor NR,VAE latent-distance reward,none reported for main physical runs,Physical reset/safety burden NR,Self-supervised goal generation enables physical visual RL from 10k–25k samples,physical samples,VAE training and task setup are displaced compute/design costs,true,A,Only reaching has a disclosed elapsed time; evaluation uses 15 push rollouts
gupta2021resetfreemtl,Reset-Free Reinforcement Learning via Multi-Task Learning: Learning Dexterous Manipulation Behaviors without Human Intervention,2021,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/ICRA48506.2021.9561384,2104.11203,https://doi.org/10.1109/ICRA48506.2021.9561384,https://sites.google.com/view/mtrf,,project_only,NR,2026-07-31,included_core,R4,core,E1,peer_reviewed,16-DoF D'Hand on 6-DoF Sawyer arm,dexterous manipulation,valve in-hand reorientation; pipe insertion,true,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12",subtask-specific success rate,in-hand reorientation exceeds 70%; pipe insertion exceeds 60%,NR,about 60 h in-hand; pipe text reports over 30 h in setup description and about 25 h in result paragraph,NR,NR,NR,60; 25–30 by task,same as uninterrupted run durations,1,NR,0,"multi-task behaviors recenter, pick up and remove objects; no human intervention during runs",motion-capture state and hand-designed subtask rewards,none reported,Scripted arm motion for pickup; motion capture; user places object before startup,Uninterrupted 25–60 h physical learning without human intervention,manual-reset removal and continuous robot time,"Motion capture, scripted pickup motion, selected task graph and startup placement are displaced costs",true,A,Only one long run per task; paper contains 25 h versus over-30 h wording for pipe setup/result
