time_id,work_id,phase,task_scope,clock_basis,duration_value,duration_unit,target_definition,threshold_rule_available,evaluator_or_checkpoint,boundary_start,boundary_end,partial_scope,evidence_locator,source_grade,reporting_status,interpretation_limit
TIME-EFF-0011,luo2025hilserl,target_online_learning,car dashboard assembly,elapsed_wall_clock,2,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0012,luo2025hilserl,target_online_learning,object handover,elapsed_wall_clock,2.5,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0013,luo2025hilserl,target_online_learning,timing-belt assembly,elapsed_wall_clock,6,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0014,luo2025hilserl,target_online_learning,Jenga whipping,elapsed_wall_clock,1.25,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0015,luo2025hilserl,target_online_learning,object flipping,elapsed_wall_clock,1,h,final 100% task success reported,no,final evaluation row; first-passage checkpoint not linked,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one policy row,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Final per-policy training duration; it is not a verified first-crossing time-to-target.
TIME-EFF-0016,liu2026autoserl,target_online_learning,USB insertion,elapsed_wall_clock,8,min,50/50 successful evaluations,yes_source_explicit,Table 2 minimum-time evaluation with intervention disabled,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0017,liu2026autoserl,target_online_learning,plug insertion,elapsed_wall_clock,8,min,50/50 successful evaluations,yes_source_explicit,Table 2 minimum-time evaluation with intervention disabled,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0018,liu2026autoserl,target_online_learning,hanger suspension,elapsed_wall_clock,33,min,50/50 successful evaluations,yes_source_explicit,Table 2 minimum-time evaluation with intervention disabled,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0019,liu2026autoserl,target_online_learning,correction-tape suspension,elapsed_wall_clock,25,min,50/50 successful evaluations,yes_source_explicit,Table 2 minimum-time evaluation with intervention disabled,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0020,liu2026autoserl,target_online_learning,spoon suspension,elapsed_wall_clock,35,min,50/50 successful evaluations,yes_source_explicit,Table 2 minimum-time evaluation with intervention disabled,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0021,liu2026autoserl,target_online_learning,drawer opening,elapsed_wall_clock,45,min,50/50 successful evaluations,yes_source_explicit,Table 2 minimum-time evaluation with intervention disabled,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0022,walke2023ariel,target_online_learning,four demonstration-assisted tasks,elapsed_wall_clock,1.5,h,100-trial checkpoint performance,no,checkpoint only; no frozen pass threshold,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: task group,Main PDF pp.6–7; supplement p.14 Table 5,A,source_reported,"Checkpoint duration, not time to a declared pass threshold."
TIME-EFF-0023,walke2023ariel,target_online_learning,three direct-transfer tasks,elapsed_wall_clock,9,h,600-trial checkpoint performance,no,checkpoint only; no frozen pass threshold,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: task group,Main PDF pp.6–7; supplement p.14 Table 5,A,source_reported,"Checkpoint duration, not time to a declared pass threshold."
TIME-EFF-0024,sun2022relmm,physical_run,per-environment autonomous run,aggregate_robot_hours,25–50,h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: per environment,"PDF pp.1–2,5–6; Table 1",A,source_reported,Fixed run duration; pseudo-reset and maintenance remain inside a source-specific boundary.
TIME-EFF-0025,sun2022relmm,physical_run,headline environment range,aggregate_robot_hours,approximately 40–60,h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: headline statement,"PDF pp.1–2,5–6; Table 1",A,source_reported_approximate,Headline run range; not a first target-crossing time.
TIME-EFF-0026,hu2023reboot,target_online_learning,second 3-prong pose,elapsed_wall_clock,6,h,comparable 80% success,yes_source_explicit,source task-success curve/comparison,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF pp.7–8; appendix E/F p.20,A,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0027,hu2023reboot,target_online_learning,T-pipe,elapsed_wall_clock,6,h,60% success,yes_source_explicit,source task-success curve/comparison,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF pp.7–8; appendix E/F p.20,A,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0028,hu2023reboot,target_online_learning,football,elapsed_wall_clock,5,h,30% success,yes_source_explicit,source task-success curve/comparison,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF pp.7–8; appendix E/F p.20,A,source_reported,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0029,mendonca2025continuous,physical_run,each reported mobile-manipulation run,aggregate_robot_hours,8–15,h,final task result,no,final result only; first-passage boundary NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: per run,"PDF pp.4,7–8,16",A,source_reported,"Per-run duration, not a total study budget or verified first-crossing time."
TIME-EFF-0030,stachowicz2023fastrlap,target_online_learning,headline courses,elapsed_wall_clock,typically <20,min,near-expert lap performance,source_declared_qualitative,online lap-performance curve,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: headline subset,"PDF pp.2–7,10; p.14 Table 4",A,source_reported_approximate,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0031,stachowicz2023fastrlap,target_online_learning,two plotted courses,elapsed_wall_clock,30,min,approaches human performance,source_declared_qualitative,course learning curves,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: two courses,"PDF pp.2–7,10; p.14 Table 4",A,source_reported_approximate,Longer plotted endpoint retained beside the under-20-minute headline.
TIME-EFF-0032,hu2025robottrainsrobot,target_adaptation,walking,physical_interaction_time,20,min,successful real-world walking adaptation,source_declared_qualitative,three-seed walking adaptation plot,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: walking only,"PDF pp.2,6",A,source_reported_approximate,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0033,hu2025robottrainsrobot,target_online_learning,swing-up,physical_interaction_time,15,min,swing-up result,no,headline endpoint; stage inclusion unresolved,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: swing-up only,"PDF pp.2,6",A,source_reported_approximate,The source does not make clear whether all three swing-up stages are inside 15 min; excluded from strict target-time availability.
TIME-EFF-0034,sharma2026worldgymnast,model_training,full-parameter in-model RL,compute_wall_clock,1–2,days,NR,no,model optimization duration,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: model training only,"PDF pp.4–7,15–16; appendix A.4 Table 5",B,source_reported_approximate,"Compute/model-training duration, not physical time-to-target."
TIME-EFF-0035,zhao2025silri,physical_run,close trashbin,elapsed_wall_clock,40,min,final task result,no,fixed task training budget; first-passage boundary NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,"PDF pp.5,7,9–10,13 Table II",B,source_reported,Per-task run duration; the derived 385-minute sum is intentionally not used.
TIME-EFF-0036,zhao2025silri,physical_run,open cabinet,elapsed_wall_clock,40,min,final task result,no,fixed task training budget; first-passage boundary NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,"PDF pp.5,7,9–10,13 Table II",B,source_reported,Per-task run duration; the derived 385-minute sum is intentionally not used.
TIME-EFF-0037,zhao2025silri,physical_run,insert USB,elapsed_wall_clock,40,min,final task result,no,fixed task training budget; first-passage boundary NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,"PDF pp.5,7,9–10,13 Table II",B,source_reported,Per-task run duration; the derived 385-minute sum is intentionally not used.
TIME-EFF-0038,zhao2025silri,physical_run,Push-T,elapsed_wall_clock,60,min,final task result,no,fixed task training budget; first-passage boundary NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,"PDF pp.5,7,9–10,13 Table II",B,source_reported,Per-task run duration; the derived 385-minute sum is intentionally not used.
TIME-EFF-0039,zhao2025silri,physical_run,hang Chinese knot,elapsed_wall_clock,65,min,final task result,no,fixed task training budget; first-passage boundary NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,"PDF pp.5,7,9–10,13 Table II",B,source_reported,Per-task run duration; the derived 385-minute sum is intentionally not used.
TIME-EFF-0040,zhao2025silri,physical_run,pick-place bread,elapsed_wall_clock,40,min,final task result,no,fixed task training budget; first-passage boundary NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,"PDF pp.5,7,9–10,13 Table II",B,source_reported,Per-task run duration; the derived 385-minute sum is intentionally not used.
TIME-EFF-0041,zhao2025silri,physical_run,fold rag,elapsed_wall_clock,40,min,final task result,no,fixed task training budget; first-passage boundary NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,"PDF pp.5,7,9–10,13 Table II",B,source_reported,Per-task run duration; the derived 385-minute sum is intentionally not used.
TIME-EFF-0042,zhao2025silri,physical_run,pick-up spoon,elapsed_wall_clock,60,min,final task result,no,fixed task training budget; first-passage boundary NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,"PDF pp.5,7,9–10,13 Table II",B,source_reported,Per-task run duration; the derived 385-minute sum is intentionally not used.
TIME-EFF-0043,yin2026playworld,upstream_data_collection,maximum continuous autonomous collection session,elapsed_wall_clock,up to 8,h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: session capacity,"PDF pp.2,4–7,10,23",B,source_reported_approximate,"Session capacity, not target achievement."
TIME-EFF-0044,yin2026playworld,program_total,task-agnostic autonomous play corpus,aggregate_robot_hours,30,h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: play collection only,"PDF pp.2,4–7,10,23",B,source_reported,Play collection total; downstream target and inherited pretraining are outside this boundary.
TIME-EFF-0045,yin2026playworld,model_training,world model,compute_wall_clock,2,days,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: 8 H200 model training,"PDF pp.2,4–7,10,23",B,source_reported,"Compute duration, not physical time-to-target."
TIME-EFF-0046,haarnoja2019walk,target_online_learning,forward locomotion,elapsed_wall_clock,approximately 2,h,stable forward locomotion,source_declared_qualitative,physical learning curve plus 10/10 robustness tests,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one reported run,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,A,source_reported_approximate,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0047,zhan2022ferm,target_online_learning,five manipulation tasks,elapsed_wall_clock,15–50,min,source-described optimal task policy,source_declared_qualitative,task success/return curves,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: per-task range,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,A,source_reported_approximate,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0048,zhan2022ferm,target_online_learning,first successful completion,elapsed_wall_clock,mean 11; range 3–33,min,first task success,yes_source_explicit,first-success event,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: task range,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,A,source_reported_approximate,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0049,tebbe2021tabletennis,not_reported,physical table-tennis training,not_reported,NR,NR,NR,no,NR,NR,NR,no,PDF p.5 Sec. IV; p.6 Sec. V,A,not_reported,"Ball contacts are reported, but elapsed/interaction time is not."
TIME-EFF-0050,wu2023daydreamer,target_online_learning,A1 walking,aggregate_robot_hours,1,h,learned walking,source_declared_qualitative,task learning curve,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one robot/task,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,A,source_reported,Task/robot-specific duration; rows must not be summed across embodiments.
TIME-EFF-0051,wu2023daydreamer,target_adaptation,A1 push adaptation,aggregate_robot_hours,10,min,adaptation to pushes,source_declared_qualitative,task learning curve,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one robot/task,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,A,source_reported,Task/robot-specific duration; rows must not be summed across embodiments.
TIME-EFF-0052,wu2023daydreamer,target_online_learning,UR5 task,aggregate_robot_hours,8,h,NR,no,fixed run endpoint,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one robot/task,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,A,source_reported,Task/robot-specific duration; rows must not be summed across embodiments.
TIME-EFF-0053,wu2023daydreamer,target_online_learning,xArm task,aggregate_robot_hours,10,h,NR,no,fixed run endpoint,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one robot/task,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,A,source_reported,Task/robot-specific duration; rows must not be summed across embodiments.
TIME-EFF-0054,wu2023daydreamer,target_online_learning,Sphero task,aggregate_robot_hours,approximately 2,h,NR,no,fixed run endpoint,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one robot/task,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,A,source_reported_approximate,Task/robot-specific duration; rows must not be summed across embodiments.
TIME-EFF-0055,kalashnikov2018qtopt,upstream_data_collection,"320,000 attempts",aggregate_robot_hours,approximately 440,robot-h,78% unseen-object grasp success,yes_source_explicit,held-out unseen-object grasp checkpoint,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: fleet aggregate checkpoint,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,A,source_reported_approximate,"Aggregate fleet robot-hours, not calendar time."
TIME-EFF-0056,kalashnikov2018qtopt,upstream_data_collection,"580,000 attempts",aggregate_robot_hours,approximately 800,robot-h,96% unseen-object grasp success,yes_source_explicit,held-out unseen-object grasp checkpoint,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: fleet aggregate checkpoint,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,A,source_reported_approximate,"Aggregate fleet robot-hours, not calendar time."
TIME-EFF-0057,kalashnikov2022mtopt,program_total,continuous multi-task collection program,elapsed_wall_clock,16,months,per-task target NR,no,program end only,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: program span,"PDF p.1 abstract; pp.15–17 appendix, Table IV",A,source_reported,Collection-program span; per-task time-to-target is not reported.
TIME-EFF-0058,riedmiller2018sacx,target_online_learning,physical lift task,elapsed_wall_clock,approximately 10,h,approximately 100% lift success,yes_source_explicit,"approximately 1,200-episode physical curve",first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: single hardware curve,PDF p.8 Sec. 5.4 and physical-robot figure,A,source_reported_approximate,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0059,nair2020awac,not_reported,physical online fine-tuning,not_reported,NR,NR,NR,no,NR,NR,NR,no,PDF p.8 Sec. 6.3; p.17 appendix robot-experiment details,B,not_reported,"Physical steps are reported, but elapsed/interaction time is not."
TIME-EFF-0060,singh2021cog,upstream_data_collection,prior grasp corpus,aggregate_robot_hours,20,robot-h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: 80k prior transitions,PDF p.8 Sec. 5.2 and real-robot table,A,source_reported,Prior collection component; main result is offline training.
TIME-EFF-0061,singh2021cog,upstream_data_collection,new-task grasp corpus,aggregate_robot_hours,34,robot-h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: 80k new-task transitions,PDF p.8 Sec. 5.2 and real-robot table,A,source_reported,New-task collection component; no target-linked elapsed time.
TIME-EFF-0062,kumar2023ptr,not_reported,physical online door fine-tuning,not_reported,NR,NR,NR,no,NR,NR,NR,no,PDF pp.7–9 Sec. 5; pp.14–16 appendix; p.21 appendix,A,not_reported,"A matched outcome comparison exists, but physical duration is not reported."
TIME-EFF-0063,chebotar2023qtransformer,model_training,small model / one data setting,compute_wall_clock,32,h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one compute setting,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,A,source_reported,"Model-training compute duration, not physical target time."
TIME-EFF-0064,chebotar2023qtransformer,model_training,largest reported model/data setting,compute_wall_clock,163,h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one compute setting,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,A,source_reported,"Model-training compute duration, not physical target time."
TIME-EFF-0065,chebotar2023qtransformer,model_training,third reported model/data setting,compute_wall_clock,40,h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one compute setting,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,A,source_reported,"Model-training compute duration, not physical target time."
TIME-EFF-0066,nair2018rig,target_online_learning,reaching,elapsed_wall_clock,about 1,h,reaching result,no,final run endpoint; threshold rule NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: reaching only,PDF pp.8–9 Sec. 5.3,A,source_reported_approximate,"Reaching duration is reported, but a frozen first-passage threshold is not linked."
TIME-EFF-0067,nair2018rig,not_reported,pushing,not_reported,NR,NR,NR,no,NR,NR,NR,no,PDF pp.8–9 Sec. 5.3,A,not_reported,Pushing samples/results are reported; pushing elapsed time is not.
TIME-EFF-0068,gupta2021resetfreemtl,physical_run,in-hand reorientation,aggregate_robot_hours,about 60,h,>70% final success,no,final long-run result,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12",A,source_reported_approximate,"Uninterrupted run duration, not first target crossing."
TIME-EFF-0069,gupta2021resetfreemtl,physical_run,pipe insertion result paragraph,aggregate_robot_hours,about 25,h,>60% final success,no,final result paragraph,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one source statement,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12",A,source_reported_approximate,Kept separate from the setup section's over-30-hour statement.
TIME-EFF-0070,gupta2021resetfreemtl,physical_run,pipe setup capability statement,aggregate_robot_hours,>30,h,NR,no,setup statement,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one source statement,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12",A,source_reported_approximate,Source wording conflicts with the about-25-hour result paragraph; neither is converted to strict target time.
TIME-EFF-0071,yang2020dataefficientlegged,target_online_learning,physical locomotion interaction,physical_interaction_time,4.5,min,stable locomotion controller,source_declared_qualitative,36-rollout / 45k-step physical endpoint,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: interaction only,PDF p.2 contribution summary; p.8 conclusion,A,source_reported_approximate,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0072,yang2020dataefficientlegged,physical_run,robot experiment including setup,elapsed_wall_clock,approximately 10,min,NR,no,experiment end,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: coarse combined boundary,PDF p.2 contribution summary; p.8 conclusion,A,source_reported_approximate,Includes setup and interaction; components cannot be recovered by assuming subtraction.
TIME-EFF-0073,nagabandi2019metarl,upstream_data_collection,terrain 1,physical_interaction_time,approximately 30,min,meta-training data budget,no,fixed collection duration,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one terrain,PDF p.9 Sec. 5.4,A,source_reported_approximate,"Upstream meta-training collection, not held-out adaptation time."
TIME-EFF-0074,nagabandi2019metarl,upstream_data_collection,terrain 2,physical_interaction_time,approximately 30,min,meta-training data budget,no,fixed collection duration,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one terrain,PDF p.9 Sec. 5.4,A,source_reported_approximate,"Upstream meta-training collection, not held-out adaptation time."
TIME-EFF-0075,nagabandi2019metarl,upstream_data_collection,terrain 3,physical_interaction_time,approximately 30,min,meta-training data budget,no,fixed collection duration,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one terrain,PDF p.9 Sec. 5.4,A,source_reported_approximate,"Upstream meta-training collection, not held-out adaptation time."
TIME-EFF-0076,cully2015adaptanimals,target_adaptation,post-damage adaptation,elapsed_wall_clock,<2,min,recover task performance after damage,yes_bounded_search,search stops after at most 20–30 physical tests,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: adaptation only,PDF p.1 abstract; Methods pp.18 and 20,A,source_reported_approximate,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0077,chatzilygeroudis2017blackdrops,not_reported,physical policy search,not_reported,NR,NR,NR,no,NR,NR,NR,no,Correct PDF p.7 real-robot experiment; p.8 computational-cost discussion,A,not_reported,"Episode count is reported, but physical elapsed duration is not."
