lifecycle_id,work_id,cost_channel,value,unit,denominator,reporting_status,component_or_proxy,evidence_locator,interpretation_limit
LC-EFF-0086,zhao2025silri,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,"PDF pp.5,7,9–10,13 Table II",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0087,zhao2025silri,failed_development_runs,NR,NR,NR,not_reported,none located,"PDF pp.5,7,9–10,13 Table II",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0088,zhao2025silri,prior_data_cost,20 demonstrations per task; live interventions,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,"PDF pp.5,7,9–10,13 Table II","An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0089,yin2026playworld,active_human_time,NR,NR,NR,not_reported,none located,"PDF pp.2,4–7,10,23",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0090,yin2026playworld,standby_monitoring_time,occasional monitoring reported; minutes NR,qualitative proxy,source-specific,proxy_only,qualitative or denominator-incomplete proxy,"PDF pp.2,4–7,10,23",Proxy presence is not counted as quantitative lifecycle coverage.
LC-EFF-0091,yin2026playworld,reset_recovery_cost,NR,NR,NR,not_reported,none located,"PDF pp.2,4–7,10,23",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0092,yin2026playworld,engineering_setup_time,NR,NR,NR,not_reported,none located,"PDF pp.2,4–7,10,23",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0093,yin2026playworld,safety_exposure,NR,NR,NR,not_reported,none located,"PDF pp.2,4–7,10,23",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0094,yin2026playworld,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,"PDF pp.2,4–7,10,23",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0095,yin2026playworld,failed_development_runs,NR,NR,NR,not_reported,none located,"PDF pp.2,4–7,10,23",No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0096,yin2026playworld,prior_data_cost,DROID-pretrained world model and pretrained VLA,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,"PDF pp.2,4–7,10,23","An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0097,haarnoja2019walk,active_human_time,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0098,haarnoja2019walk,standby_monitoring_time,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0099,haarnoja2019walk,reset_recovery_cost,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0100,haarnoja2019walk,engineering_setup_time,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0101,haarnoja2019walk,safety_exposure,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0102,haarnoja2019walk,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0103,haarnoja2019walk,failed_development_runs,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0104,haarnoja2019walk,prior_data_cost,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0105,zhan2022ferm,active_human_time,<10,min,ten demonstration collection,source_reported_component,demonstration collection only,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,Reported component does not constitute a full lifecycle-channel total.
LC-EFF-0106,zhan2022ferm,standby_monitoring_time,NR,NR,NR,not_reported,none located,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0107,zhan2022ferm,reset_recovery_cost,NR,NR,NR,not_reported,none located,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0108,zhan2022ferm,engineering_setup_time,NR,NR,NR,not_reported,none located,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0109,zhan2022ferm,safety_exposure,NR,NR,NR,not_reported,none located,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0110,zhan2022ferm,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0111,zhan2022ferm,failed_development_runs,NR,NR,NR,not_reported,none located,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0112,zhan2022ferm,prior_data_cost,10 demonstrations collected in under 10 min,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,"An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0113,tebbe2021tabletennis,active_human_time,NR,NR,NR,not_reported,none located,PDF p.5 Sec. IV; p.6 Sec. V,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0114,tebbe2021tabletennis,standby_monitoring_time,NR,NR,NR,not_reported,none located,PDF p.5 Sec. IV; p.6 Sec. V,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0115,tebbe2021tabletennis,reset_recovery_cost,NR,NR,NR,not_reported,none located,PDF p.5 Sec. IV; p.6 Sec. V,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0116,tebbe2021tabletennis,engineering_setup_time,NR,NR,NR,not_reported,none located,PDF p.5 Sec. IV; p.6 Sec. V,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0117,tebbe2021tabletennis,safety_exposure,NR,NR,NR,not_reported,none located,PDF p.5 Sec. IV; p.6 Sec. V,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0118,tebbe2021tabletennis,wear_maintenance_downtime,NR,NR,NR,not_reported,none located,PDF p.5 Sec. IV; p.6 Sec. V,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0119,tebbe2021tabletennis,failed_development_runs,NR,NR,NR,not_reported,none located,PDF p.5 Sec. IV; p.6 Sec. V,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0120,tebbe2021tabletennis,prior_data_cost,30 random warm-up actions,source-reported asset/count description,upstream asset boundary,source_reported_component,prior-data component; labor/collection total may remain NR,PDF p.5 Sec. IV; p.6 Sec. V,"An inherited asset is located, but its full robot/person/compute cost is not necessarily reported."
LC-EFF-0121,wu2023daydreamer,active_human_time,NR,NR,NR,not_reported,none located,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0122,wu2023daydreamer,standby_monitoring_time,NR,NR,NR,not_reported,none located,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0123,wu2023daydreamer,reset_recovery_cost,NR,NR,NR,not_reported,none located,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0124,wu2023daydreamer,engineering_setup_time,NR,NR,NR,not_reported,none located,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0125,wu2023daydreamer,safety_exposure,NR,NR,NR,not_reported,none located,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0126,wu2023daydreamer,wear_maintenance_downtime,wear/repair disclosed qualitatively; downtime NR,qualitative proxy,source-specific,proxy_only,qualitative or denominator-incomplete proxy,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,Proxy presence is not counted as quantitative lifecycle coverage.
LC-EFF-0127,wu2023daydreamer,failed_development_runs,NR,NR,NR,not_reported,none located,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0128,wu2023daydreamer,prior_data_cost,NR,NR,NR,not_reported,none located,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0129,kalashnikov2018qtopt,active_human_time,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0130,kalashnikov2018qtopt,standby_monitoring_time,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,No complete quantitative value for this lifecycle channel was located; NR is not zero.
LC-EFF-0131,kalashnikov2018qtopt,reset_recovery_cost,NR,NR,NR,not_reported,none located,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,No complete quantitative value for this lifecycle channel was located; NR is not zero.
