mechanism_id,level1,level2,level3,definition,work_ids,physical_evidence_tiers,core_tradeoff,failure_modes
EFF-M11,"Remove reset and recovery downtime","Task reciprocity","Forward/backward or multi-task self-reset","Learn or alternate behaviors whose terminal states furnish valid starts for another behavior.","luo2024serl;gupta2021resetfreemtl;sharma2023medalpp","luo2024serl:R3/E2;gupta2021resetfreemtl:R4/E1;sharma2023medalpp:R3/E1","Longer autonomous runs are possible, but task graphs, backward demonstrations and state coverage must be engineered.","both directions fail; state distribution drifts; object leaves reachable workspace; task graph has dead ends"
EFF-M12,"Remove reset and recovery downtime","Environment/task cycling","Pseudo-resets and goal cycles","Choose goals or task phases so successful interaction naturally creates another training opportunity without restoring one canonical state.","sun2022relmm;mendonca2025continuous","sun2022relmm:R4/E2;mendonca2025continuous:R4/E1","Unattended duration improves, but the resulting state distribution may differ from the benchmark initial-state distribution.","object depletion; curriculum stalls; pseudo-reset hides state drift; battery or workspace limits"
EFF-M13,"Remove reset and recovery downtime","Learned recovery","Reset or recovery policy from demonstrations/data","Train a controller that restores viable states after failure and interleave it with the forward policy.","liu2026autoserl;hu2023reboot;kumar2023ptr","liu2026autoserl:R3/E3;hu2023reboot:R4/E3;kumar2023ptr:R3/E3","Manual resets can be reduced after bootstrapping, but reset demonstrations and imperfect recovery create displaced labor and bias.","recovery outside demonstration support; reset policy traps; compounded forward/reset errors; unsafe retry"
EFF-M14,"Remove reset and recovery downtime","Scripted recovery and fixtures","Hand-coded reorientation, reels, gravity, launchers or actuated bins","Use deterministic mechanisms or task fixtures to return the robot/environment to a viable state.","stachowicz2023fastrlap;wurss2023locality;lancaster2024modemv2;tebbe2021tabletennis;kalashnikov2022mtopt","stachowicz2023fastrlap:R3/E3;wurss2023locality:R3/E3;lancaster2024modemv2:R3/E2;tebbe2021tabletennis:R3/E1;kalashnikov2022mtopt:R4/E2","Reliable throughput is gained at the cost of task-specific engineering and limited portability.","fixture wear; unmodeled jam; recovery script cannot handle novel failure; benchmark over-instrumentation"
EFF-M15,"Shift learning out of the target online phase","Offline real-robot experience","Offline pretraining then limited online fine-tuning","Initialize a policy/value function from previously collected physical trajectories, then spend a smaller target-task online budget.","walke2023ariel;hu2023reboot;nair2020awac;singh2021cog;kumar2023ptr","walke2023ariel:R3/E3;hu2023reboot:R4/E3;nair2020awac:R3/E2;singh2021cog:R2/E2;kumar2023ptr:R3/E3","Marginal target interaction drops, but prior data collection, curation and distribution mismatch remain lifecycle costs.","extrapolation error; incompatible sensors/actions; negative transfer; hidden prior-data labor"
EFF-M16,"Shift learning out of the target online phase","Offline real-robot experience","Large-scale offline policy learning","Train and evaluate the policy mainly from a fixed fleet-collected corpus rather than exploring online for the new run.","chebotar2023qtransformer;zhou2023realorl","chebotar2023qtransformer:R2/E2;zhou2023realorl:R2/E2","Deployment exploration risk falls, but the corpus can require tens of thousands of episodes and hundreds of robot/human hours.","dataset bias; missing recovery states; reward relabeling error; evaluation leakage; provenance loss"
EFF-M17,"Shift learning out of the target online phase","Simulation and prior controllers","Simulation-initialized or repertoire-guided transfer","Prepare a controller, residual initialization or behavior repertoire in simulation before bounded physical adaptation.","hu2025robottrainsrobot;cully2015adaptanimals;johannink2019residual","hu2025robottrainsrobot:R3/E3;cully2015adaptanimals:R2/E3;johannink2019residual:R3/E3","Physical adaptation can be short, but simulation compute, model construction and calibration are displaced costs.","sim-to-real mismatch; repertoire lacks needed behavior; adaptation destabilizes prior; compute bill unreported"
EFF-M18,"Shift learning out of the target online phase","Learned world models","Full RL or policy improvement inside a learned video world","Use a learned action-conditioned world as the main trial-and-error environment and reserve hardware for data acquisition or evaluation.","sharma2026worldgymnast;yin2026playworld","sharma2026worldgymnast:R3/E3;yin2026playworld:R3/E3","Robot interaction is replaced by pretrained data and accelerator time; imagined success may not transfer to contact-rich reality.","hallucinated dynamics; reward-model exploitation; coverage gaps; large GPU demand; evaluation-only physical evidence"
EFF-M19,"Improve exploration information","Demonstration bootstrap","Initial task demonstrations","Seed replay, representations, policy behavior or world models with a small target-task demonstration set.","luo2024serl;luo2025hilserl;liu2026autoserl;walke2023ariel;zhan2022ferm;nair2020awac;kumar2023ptr;zhao2025silri;lancaster2024modemv2;sharma2023medalpp","luo2024serl:R3/E2;luo2025hilserl:R3/E3;liu2026autoserl:R3/E3;walke2023ariel:R3/E3;zhan2022ferm:R3/E2;nair2020awac:R3/E2;kumar2023ptr:R3/E3;zhao2025silri:R3/E3;lancaster2024modemv2:R3/E2;sharma2023medalpp:R3/E1","Unsafe random exploration is reduced, but demonstration collection time, expertise and coverage are rarely reported.","demonstration bias; insufficient failure coverage; embodiment mismatch; teleoperation latency; apparent sample efficiency hides labor"
EFF-M20,"Improve exploration information","Live supervision","Human interventions and corrective actions","Allow an operator to override or correct the learner online and train from those intervention transitions.","luo2025hilserl;zhao2025silri","luo2025hilserl:R3/E3;zhao2025silri:R3/E3","Training can converge in hours, but operator occupancy, expertise, fatigue and intervention quality become central costs.","late intervention; inconsistent operator policy; intervention distribution shift; hidden always-on monitoring"
EFF-M21,"Improve exploration information","Autonomous data diversification","Play, failure data and continuous multi-task collection","Collect broad non-success-only interaction so the model/policy sees failures, contacts and diverse states.","kalashnikov2022mtopt;chebotar2023qtransformer;yin2026playworld","kalashnikov2022mtopt:R4/E2;chebotar2023qtransformer:R2/E2;yin2026playworld:R3/E3","Coverage improves, but collection volume and storage/curation cost can dominate target-task savings.","unsafe play; skew toward easy states; low-value repeated failures; detector bias; storage bottleneck"
EFF-M22,"Improve exploration information","Reward and progress supervision","Learned success/reward classifiers","Replace difficult instrumented rewards with learned classifiers or model-based progress judgments.","luo2024serl;luo2025hilserl;kalashnikov2022mtopt;kumar2023ptr;sharma2026worldgymnast;yin2026playworld","luo2024serl:R3/E2;luo2025hilserl:R3/E3;kalashnikov2022mtopt:R4/E2;kumar2023ptr:R3/E3;sharma2026worldgymnast:R3/E3;yin2026playworld:R3/E3","Reward instrumentation can be reduced, but label collection and reward-model error move into the lifecycle cost.","reward hacking; classifier drift; false success; domain shift; expensive label refresh"
EFF-M23,"Adapt instead of relearn","Dynamics adaptation","Meta-learned dynamics updated online","Meta-train a dynamics model across conditions so a small amount of physical data adapts it to a new terrain or regime.","nagabandi2019metarl","nagabandi2019metarl:R2/E2","Fast adaptation inherits multi-condition physical meta-training and safety handling.","new condition outside meta-training support; unsafe adaptation data; model update instability"
EFF-M24,"Adapt instead of relearn","Damage/behavior adaptation","Repertoire-guided Bayesian adaptation","Search a precomputed behavior map for a compensating controller after damage using a bounded number of physical tests.","cully2015adaptanimals","cully2015adaptanimals:R2/E3","Sub-two-minute physical adaptation depends on millions of simulated behaviors and does not represent from-scratch learning.","damage mode absent from repertoire; simulator bias; test damages hardware; map-generation compute hidden"
EFF-M25,"Adapt instead of relearn","Policy adaptation","Teacher-mediated real-world adaptation","Adapt a pretrained policy while a teacher robot supplies recovery and safety actions.","hu2025robottrainsrobot","hu2025robottrainsrobot:R3/E3","Minute-scale adaptation is exchanged for teacher hardware, simulation pretraining and integration effort.","teacher/learner collision; force-sensor drift; adapted policy depends on tether or treadmill"
