claim_id,claim_text,claim_scope,work_ids,evidence_type,confidence,caveat,intended_section
CL-EFF-011,当前 34 篇核心实证工作中，E4 独立跨团队成本复现为 0 篇。,verified corpus snapshot through 2026-07-31 empirical corpus,luo2024serl;luo2025hilserl;liu2026autoserl;walke2023ariel;sun2022relmm;hu2023reboot;mendonca2025continuous;stachowicz2023fastrlap;hu2025robottrainsrobot;sharma2026worldgymnast;zhao2025silri;yin2026playworld;haarnoja2019walk;zhan2022ferm;tebbe2021tabletennis;wu2023daydreamer;kalashnikov2018qtopt;kalashnikov2022mtopt;riedmiller2018sacx;nair2020awac;singh2021cog;kumar2023ptr;chebotar2023qtransformer;nair2018rig;gupta2021resetfreemtl;yang2020dataefficientlegged;nagabandi2019metarl;cully2015adaptanimals;chatzilygeroudis2017blackdrops;johannink2019residual;zhou2023realorl;wurss2023locality;lancaster2024modemv2;sharma2023medalpp,corpus_audit_count,high,E4 缺失表示未核验到独立复现，不表示这些方法不可复现。,research_gaps
CL-EFF-012,34 篇核心工作中有 15 篇未报告明确 evaluation-trial denominator。,verified corpus snapshot through 2026-07-31; metric_name=evaluation_trial_count,walke2023ariel;hu2023reboot;mendonca2025continuous;stachowicz2023fastrlap;hu2025robottrainsrobot;zhan2022ferm;wu2023daydreamer;kalashnikov2018qtopt;nair2020awac;chebotar2023qtransformer;gupta2021resetfreemtl;yang2020dataefficientlegged;chatzilygeroudis2017blackdrops;wurss2023locality;sharma2023medalpp,corpus_audit_count,high,work_ids 与 claim_evidence.csv 均列出完整的 15 篇成员；NR 不是零。,research_gaps
CL-EFF-013,34 篇核心工作中 physical steps/transitions 有 22 篇为 NR，episodes/rollouts 有 19 篇为 NR。,verified corpus snapshot through 2026-07-31; metric_name=physical_steps_or_transitions and physical_episodes_or_rollouts,luo2024serl;luo2025hilserl;liu2026autoserl;sun2022relmm;hu2023reboot;mendonca2025continuous;stachowicz2023fastrlap;hu2025robottrainsrobot;sharma2026worldgymnast;zhao2025silri;yin2026playworld;zhan2022ferm;tebbe2021tabletennis;wu2023daydreamer;kalashnikov2018qtopt;kalashnikov2022mtopt;riedmiller2018sacx;nair2020awac;kumar2023ptr;chebotar2023qtransformer;nair2018rig;gupta2021resetfreemtl;nagabandi2019metarl;cully2015adaptanimals;chatzilygeroudis2017blackdrops;johannink2019residual;zhou2023realorl;wurss2023locality;lancaster2024modemv2;sharma2023medalpp,corpus_audit_count,high,两种计数的定义也跨任务异质；同时报告并不自动使其可比较。,research_gaps
CL-EFF-014,34 篇核心工作中 robot-hours 有 16 篇为 NR，elapsed wall-clock 有 8 篇为 NR。,verified corpus snapshot through 2026-07-31; metric_name=active_or_aggregate_robot_hours and elapsed_wall_clock,luo2024serl;luo2025hilserl;liu2026autoserl;hu2023reboot;stachowicz2023fastrlap;hu2025robottrainsrobot;sharma2026worldgymnast;zhao2025silri;zhan2022ferm;tebbe2021tabletennis;kalashnikov2018qtopt;kalashnikov2022mtopt;nair2020awac;singh2021cog;kumar2023ptr;chebotar2023qtransformer;cully2015adaptanimals;chatzilygeroudis2017blackdrops;zhou2023realorl,corpus_audit_count,high,已报告的时间边界仍可能只覆盖在线阶段，而非准备、评测和维护。,research_gaps
CL-EFF-015,34 篇核心工作中有 21 篇未报告可定位的 compute 配置或训练时长。,verified corpus snapshot through 2026-07-31; metric_name=reported_compute_resource_or_duration,luo2025hilserl;liu2026autoserl;walke2023ariel;sun2022relmm;hu2023reboot;stachowicz2023fastrlap;zhao2025silri;haarnoja2019walk;zhan2022ferm;tebbe2021tabletennis;riedmiller2018sacx;nair2020awac;singh2021cog;kumar2023ptr;nair2018rig;gupta2021resetfreemtl;yang2020dataefficientlegged;nagabandi2019metarl;johannink2019residual;lancaster2024modemv2;sharma2023medalpp,corpus_audit_count,high,硬件型号本身仍不足以换算 GPU-hours、能耗或费用。,research_gaps
CL-EFF-016,34 篇核心工作中有 30 篇未报告 control frequency。,verified corpus snapshot through 2026-07-31; metric_name=control_frequency,luo2024serl;luo2025hilserl;liu2026autoserl;walke2023ariel;sun2022relmm;hu2023reboot;mendonca2025continuous;stachowicz2023fastrlap;hu2025robottrainsrobot;sharma2026worldgymnast;zhao2025silri;yin2026playworld;zhan2022ferm;tebbe2021tabletennis;wu2023daydreamer;kalashnikov2018qtopt;kalashnikov2022mtopt;riedmiller2018sacx;nair2020awac;singh2021cog;kumar2023ptr;chebotar2023qtransformer;nair2018rig;gupta2021resetfreemtl;yang2020dataefficientlegged;cully2015adaptanimals;chatzilygeroudis2017blackdrops;johannink2019residual;zhou2023realorl;sharma2023medalpp,corpus_audit_count,high,即使频率相同，episode idle time、reset 和 action repeat 仍需单独报告。,research_gaps
CL-EFF-017,完整的 34×8=272 格 lifecycle 审计中，230 格为 NR，只有 35 格含来源可定位的定量组件；没有一篇报告完整生命周期总成本。,cross-corpus lifecycle accounting,luo2024serl;luo2025hilserl;liu2026autoserl;walke2023ariel;sun2022relmm;hu2023reboot;mendonca2025continuous;stachowicz2023fastrlap;hu2025robottrainsrobot;sharma2026worldgymnast;zhao2025silri;yin2026playworld;haarnoja2019walk;zhan2022ferm;tebbe2021tabletennis;wu2023daydreamer;kalashnikov2018qtopt;kalashnikov2022mtopt;riedmiller2018sacx;nair2020awac;singh2021cog;kumar2023ptr;chebotar2023qtransformer;nair2018rig;gupta2021resetfreemtl;yang2020dataefficientlegged;nagabandi2019metarl;cully2015adaptanimals;chatzilygeroudis2017blackdrops;johannink2019residual;zhou2023realorl;wurss2023locality;lancaster2024modemv2;sharma2023medalpp,executable_lifecycle_grid_audit,high,该主张是报告缺口结论，而不是这些系统不安全或磨损更高的因果判断。,research_gaps
CL-EFF-018,纳入的 36 篇工作中有 16 篇定位到 official public code；其中核心工作为 15/34。代码可用性不等于独立真机复现。,verified corpus snapshot through 2026-07-31; papers.code_status and screening_status,luo2024serl;luo2025hilserl;liu2026autoserl;stachowicz2023fastrlap;hu2025robottrainsrobot;sharma2026worldgymnast;zhao2025silri;dulacarnold2021challenges;wu2023daydreamer;nair2020awac;singh2021cog;kumar2023ptr;nair2018rig;chatzilygeroudis2017blackdrops;wurss2023locality;lancaster2024modemv2,corpus_audit_count,high,仓库状态按 2026-07-31/2026-08-01 核验；未来可能变化。,research_gaps
CL-EFF-019,R4 长时自主运行证据回答的是干预和复位能力，不自动证明 sample efficiency。,deployment-tier interpretation,sun2022relmm;hu2023reboot;gupta2021resetfreemtl;kalashnikov2018qtopt;kalashnikov2022mtopt;mendonca2025continuous,methodological_boundary,high,同一工作可以同时有较强效率证据，但必须由 steps、hours、baseline 和 threshold 单独支持。,evaluation_framework
CL-EFF-020,residual policy、procedural prior 和手写 base controller 可以缩小 RL 搜索空间，同时把成本转移到控制器与系统工程。,hybrid-control physical RL,johannink2019residual;mendonca2025continuous;hu2025robottrainsrobot,comparative_case_synthesis,moderate,工程成本可能跨任务复用；现有记录不足以计算 amortized benefit。,taxonomy
CL-EFF-021,learned reset policy 的存在不能被视为零复位成本；REBOOT 的三项 reset success 为 0.608、0.667 和 0.367。,learned-reset physical manipulation,hu2023reboot;kumar2023ptr;liu2026autoserl,single_source_quantitative_plus_cross_case,moderate,数值仅来自 REBOOT，另外两篇支持机制与 failure-mode 判断而非相同效果量。,taxonomy
CL-EFF-022,低 physical trial count 不能在 wall-clock 为 NR 时被表述为低 elapsed-time cost。,trial-limited physical policy search,tebbe2021tabletennis;chatzilygeroudis2017blackdrops,methodological_boundary,high,计算、单次 trial 时长和人工 reset 可能主导日历成本。,evaluation_framework
CL-EFF-023,由于任务、成功阈值、控制频率、reset、并行度和生命周期边界不一致，本语料不支持一个跨论文算法效率排行榜或 pooled effect size。,all 34 empirical works,dulacarnold2019challenges;dulacarnold2021challenges;yang2020dataefficientlegged;kalashnikov2018qtopt;cully2015adaptanimals;zhou2023realorl,heterogeneity_assessment,high,可以在严格匹配的任务和报告边界内进行局部比较。,evaluation_framework
CL-EFF-024,一次性 simulation、dataset、fixture、reward 和 controller 工程应与每次目标任务的边际成本分开，并在多次部署时报告 amortized cost。,lifecycle accounting recommendation,cully2015adaptanimals;chebotar2023qtransformer;sharma2026worldgymnast;lancaster2024modemv2;johannink2019residual,methodological_recommendation,moderate,需要作者披露复用次数和资产生命周期；当前语料通常不具备这些数据。,evaluation_framework
CL-EFF-025,34 篇核心工作中，reported phase duration 有 7 篇为 NR；按 target、evaluator/checkpoint 与边界均可定位的严格规则，time-to-declared-target 有 20 篇为 NR、14 篇 available。,verified corpus snapshot through 2026-07-31; two-level time ontology,luo2024serl;luo2025hilserl;liu2026autoserl;walke2023ariel;sun2022relmm;hu2023reboot;mendonca2025continuous;stachowicz2023fastrlap;hu2025robottrainsrobot;sharma2026worldgymnast;zhao2025silri;yin2026playworld;haarnoja2019walk;zhan2022ferm;tebbe2021tabletennis;wu2023daydreamer;kalashnikov2018qtopt;kalashnikov2022mtopt;riedmiller2018sacx;nair2020awac;singh2021cog;kumar2023ptr;chebotar2023qtransformer;nair2018rig;gupta2021resetfreemtl;yang2020dataefficientlegged;nagabandi2019metarl;cully2015adaptanimals;chatzilygeroudis2017blackdrops;johannink2019residual;zhou2023realorl;wurss2023locality;lancaster2024modemv2;sharma2023medalpp,executable_time_ontology_audit,high,available 表示与来源声明的 target 和可识别终点绑定，不表示阈值已预注册，也不表示完整生命周期计时。,evaluation_framework;research_gaps
