tier_rationale_id,work_id,assigned_tier,decision_rule,evidence_ids,usable_comparison,declared_target,denominator_quality,lifecycle_boundary,independent_replication,adjudication,rationale,evidence_locator
TR-EFF-015,haarnoja2019walk,E1,E1_incomplete_or_single_setting,QE-EFF-0133;QE-EFF-0134,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Physical result is located, but comparison/repeat/boundary evidence is too incomplete for E2/E3.",PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI
TR-EFF-016,zhan2022ferm,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0144;QE-EFF-0145,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4
TR-EFF-017,tebbe2021tabletennis,E1,E1_incomplete_or_single_setting,QE-EFF-0155;QE-EFF-0156,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Physical result is located, but comparison/repeat/boundary evidence is too incomplete for E2/E3.",PDF p.5 Sec. IV; p.6 Sec. V
TR-EFF-018,wu2023daydreamer,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0166;QE-EFF-0167,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure
TR-EFF-019,kalashnikov2018qtopt,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0177;QE-EFF-0178,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix
TR-EFF-020,kalashnikov2022mtopt,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0188;QE-EFF-0189,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.","PDF p.1 abstract; pp.15–17 appendix, Table IV"
TR-EFF-021,riedmiller2018sacx,E1,E1_incomplete_or_single_setting,QE-EFF-0199;QE-EFF-0200,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Physical result is located, but comparison/repeat/boundary evidence is too incomplete for E2/E3.",PDF p.8 Sec. 5.4 and physical-robot figure
TR-EFF-022,nair2020awac,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0210;QE-EFF-0211,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF p.8 Sec. 6.3; p.17 appendix robot-experiment details
TR-EFF-023,singh2021cog,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0221;QE-EFF-0222,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF p.8 Sec. 5.2 and real-robot table
TR-EFF-024,kumar2023ptr,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0232;QE-EFF-0233,yes,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.",PDF pp.7–9 Sec. 5; pp.14–16 appendix; p.21 appendix
TR-EFF-025,chebotar2023qtransformer,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0243;QE-EFF-0244,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph
TR-EFF-026,nair2018rig,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0254;QE-EFF-0255,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF pp.8–9 Sec. 5.3
TR-EFF-027,gupta2021resetfreemtl,E1,E1_incomplete_or_single_setting,QE-EFF-0265;QE-EFF-0266,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Physical result is located, but comparison/repeat/boundary evidence is too incomplete for E2/E3.","PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12"
TR-EFF-028,yang2020dataefficientlegged,E1,E1_incomplete_or_single_setting,QE-EFF-0276;QE-EFF-0277,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Physical result is located, but comparison/repeat/boundary evidence is too incomplete for E2/E3.",PDF p.2 contribution summary; p.8 conclusion
TR-EFF-029,nagabandi2019metarl,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0287;QE-EFF-0288,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF p.9 Sec. 5.4
TR-EFF-030,cully2015adaptanimals,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0298;QE-EFF-0299,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.",PDF p.1 abstract; Methods pp.18 and 20
TR-EFF-031,chatzilygeroudis2017blackdrops,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0309;QE-EFF-0310,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",Correct PDF p.7 real-robot experiment; p.8 computational-cost discussion
TR-EFF-032,johannink2019residual,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0320;QE-EFF-0321,yes,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.",PDF pp.5–6 Sec. IV and physical result figures
TR-EFF-033,zhou2023realorl,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0331;QE-EFF-0332,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF pp.1–2 abstract/introduction; p.5 dataset table; p.10 appendix summary; p.16 compute appendix
TR-EFF-034,wurss2023locality,E3,E3_task_level_plus_comparison_or_declared_target,QE-EFF-0342;QE-EFF-0343,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Task-level quantitative evidence has a usable same-study comparison or a source-declared target, while lifecycle gaps remain visible.",PDF p.1 abstract; p.2 Table I; p.3 system; pp.5–6 Secs. IV–V
TR-EFF-035,lancaster2024modemv2,E2,E2_quantitative_with_important_boundary_gaps,QE-EFF-0353;QE-EFF-0354,no,yes,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Quantitative physical cost is located, but target linkage, matched comparison, repeat, or lifecycle boundary remains incomplete.",PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix
TR-EFF-036,sharma2023medalpp,E1,E1_incomplete_or_single_setting,QE-EFF-0364;QE-EFF-0365,no,no,source-specific; see quantitative_evidence.csv,incomplete,no,independent cross-review rule audit 2026-08-01,"Physical result is located, but comparison/repeat/boundary evidence is too incomplete for E2/E3.",PDF p.7 Figs. 5–6 and Table 6
