hardware_id,work_id,role,count,count_status,simultaneity,peak_system_robot_count,boundary,evidence_locator,interpretation_limit
HW-EFF-016,wu2023daydreamer,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,Elapsed speedup and aggregate robot-hours must be separated. One main run per robot/task; operational burden is qualitative rather than totaled
HW-EFF-017,kalashnikov2018qtopt,fleet_collector,7,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,Elapsed speedup and aggregate robot-hours must be separated. No matched end-to-end cost baseline or operator-hour total
HW-EFF-018,kalashnikov2022mtopt,fleet_collector,6-7,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF p.1 abstract; pp.15–17 appendix, Table IV",Elapsed speedup and aggregate robot-hours must be separated. Aggregate robot-hours and staffing are NR; canonical metadata uses the 2022 PMLR proceedings paper.
HW-EFF-019,riedmiller2018sacx,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.8 Sec. 5.4 and physical-robot figure,Elapsed speedup and aggregate robot-hours must be separated. Single hardware learning curve; bring-task time and intervention burden NR
HW-EFF-020,nair2020awac,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.8 Sec. 6.3; p.17 appendix robot-experiment details,Elapsed speedup and aggregate robot-hours must be separated. Physical elapsed time and matched robot-hour totals are NR; preprint status
HW-EFF-021,singh2021cog,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.8 Sec. 5.2 and real-robot table,Elapsed speedup and aggregate robot-hours must be separated. Offline training only for the main comparison; eight evaluation attempts give wide uncertainty
HW-EFF-022,kumar2023ptr,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF pp.7–9 Sec. 5; pp.14–16 appendix; p.21 appendix,Elapsed speedup and aggregate robot-hours must be separated. Physical wall-clock and operator time NR; only two online seeds; local evidence uses the longer arXiv appendix.
HW-EFF-023,chebotar2023qtransformer,fleet_collector,13,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,Elapsed speedup and aggregate robot-hours must be separated. No online physical learning or end-to-end robot-hour total; evaluation denominator per aggregate NR
HW-EFF-024,nair2018rig,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF pp.8–9 Sec. 5.3,Elapsed speedup and aggregate robot-hours must be separated. Only reaching has a disclosed elapsed time; evaluation uses 15 push rollouts
HW-EFF-025,gupta2021resetfreemtl,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12",Elapsed speedup and aggregate robot-hours must be separated. Only one long run per task; paper contains 25 h versus over-30 h wording for pipe setup/result
HW-EFF-026,yang2020dataefficientlegged,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.2 contribution summary; p.8 conclusion,Elapsed speedup and aggregate robot-hours must be separated. Single hardware run and success criterion not expressed as a large evaluation set
HW-EFF-027,nagabandi2019metarl,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.9 Sec. 5.4,Elapsed speedup and aggregate robot-hours must be separated. 90 min is a derived sum; real evaluation counts and labor minutes NR
HW-EFF-028,cully2015adaptanimals,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.1 abstract; Methods pp.18 and 20,Elapsed speedup and aggregate robot-hours must be separated. Not from-scratch RL; main efficiency result depends on a large simulated behavior map
HW-EFF-029,chatzilygeroudis2017blackdrops,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,Correct PDF p.7 real-robot experiment; p.8 computational-cost discussion,Elapsed speedup and aggregate robot-hours must be separated. One physical task with limited repeat accounting; compute timing is from simulation
HW-EFF-030,johannink2019residual,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF pp.5–6 Sec. IV and physical result figures,Elapsed speedup and aggregate robot-hours must be separated. Elapsed time given for one variant; reset/operator cost NR
HW-EFF-031,zhou2023realorl,learner,NR,not_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF pp.1–2 abstract/introduction; p.5 dataset table; p.10 appendix summary; p.16 compute appendix,Metric is NR in the verified source audit; NR is not zero. Dataset totals combine training and evaluation; platform count and wall-clock program length NR
HW-EFF-032,wurss2023locality,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.1 abstract; p.2 Table I; p.3 system; pp.5–6 Secs. IV–V,Elapsed speedup and aggregate robot-hours must be separated. Four repeated flat-ground runs but matched algorithm ablations are primarily simulated
HW-EFF-033,lancaster2024modemv2,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,Elapsed speedup and aggregate robot-hours must be separated. One main run per task; elapsed setup and demonstration-collection time NR
HW-EFF-034,sharma2023medalpp,learner,1,source_reported,reported fleet/primary count; time-varying N(t) otherwise NR,NR,primary physical data or evaluation role only,PDF p.7 Figs. 5–6 and Table 6,"Elapsed speedup and aggregate robot-hours must be separated. Operator minutes, exact reset counts and independent repeats NR"
HW-EFF-035,mendonca2025continuous,helper_reset,1,source_reported,operates with the learner during reset/recovery,2,helper capital/operation; not a second learner,"PDF pp.4,7–8,16",Second robot resets the sweeping object.
HW-EFF-036,hu2025robottrainsrobot,helper_reset,1,source_reported,operates with the learner during reset/recovery,2,helper capital/operation; not a second learner,"PDF pp.2,6",UR5 teacher lifts/steps the ToddlerBot learner.
