claim_evidence_id,claim_id,evidence_id,relation,executable_filter,expected_count,member_work_ids,source_locator,notes
CE-EFF-0047,CL-EFF-019,QE-EFF-0049,supports,none,not_applicable,sun2022relmm,"PDF pp.1–2,5–6; Table 1",Direct typed evidence link.
CE-EFF-0048,CL-EFF-019,QE-EFF-0060,supports,none,not_applicable,hu2023reboot,PDF pp.7–8; appendix E/F p.20,Direct typed evidence link.
CE-EFF-0049,CL-EFF-019,QE-EFF-0269,supports,none,not_applicable,gupta2021resetfreemtl,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12",Direct typed evidence link.
CE-EFF-0050,CL-EFF-019,QE-EFF-0181,supports,none,not_applicable,kalashnikov2018qtopt,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,Direct typed evidence link.
CE-EFF-0051,CL-EFF-019,QE-EFF-0192,supports,none,not_applicable,kalashnikov2022mtopt,"PDF p.1 abstract; pp.15–17 appendix, Table IV",Direct typed evidence link.
CE-EFF-0052,CL-EFF-019,QE-EFF-0071,supports,none,not_applicable,mendonca2025continuous,"PDF pp.4,7–8,16",Direct typed evidence link.
CE-EFF-0053,CL-EFF-020,QE-EFF-0320,supports,none,not_applicable,johannink2019residual,PDF pp.5–6 Sec. IV and physical result figures,Direct typed evidence link.
CE-EFF-0054,CL-EFF-020,QE-EFF-0067,supports,none,not_applicable,mendonca2025continuous,"PDF pp.4,7–8,16",Direct typed evidence link.
CE-EFF-0055,CL-EFF-020,QE-EFF-0089,supports,none,not_applicable,hu2025robottrainsrobot,"PDF pp.2,6",Direct typed evidence link.
CE-EFF-0056,CL-EFF-021,QE-EFF-0064,supports,none,not_applicable,hu2023reboot,PDF pp.7–8; appendix E/F p.20,Direct typed evidence link.
CE-EFF-0057,CL-EFF-021,QE-EFF-0240,supports,none,not_applicable,kumar2023ptr,PDF pp.7–9 Sec. 5; pp.14–16 appendix; p.21 appendix,Direct typed evidence link.
CE-EFF-0058,CL-EFF-021,QE-EFF-0031,supports,none,not_applicable,liu2026autoserl,PDF p.10 Table 1; p.12 Table 2; limitation section,Direct typed evidence link.
CE-EFF-0059,CL-EFF-022,QE-EFF-0157,supports,none,not_applicable,tebbe2021tabletennis,PDF p.5 Sec. IV; p.6 Sec. V,Direct typed evidence link.
CE-EFF-0060,CL-EFF-022,QE-EFF-0311,supports,none,not_applicable,chatzilygeroudis2017blackdrops,Correct PDF p.7 real-robot experiment; p.8 computational-cost discussion,Direct typed evidence link.
CE-EFF-0061,CL-EFF-023,PAPER-EFF-dulacarnold2019challenges,context_or_metadata_support,none,not_applicable,dulacarnold2019challenges,Paper conceptual sections and modified control-suite testbed,Context or canonical paper-level support; no physical QE row is attributed to context works.
CE-EFF-0062,CL-EFF-023,PAPER-EFF-dulacarnold2021challenges,context_or_metadata_support,none,not_applicable,dulacarnold2021challenges,Article definitions and benchmark sections,Context or canonical paper-level support; no physical QE row is attributed to context works.
CE-EFF-0063,CL-EFF-023,QE-EFF-0285,supports,none,not_applicable,yang2020dataefficientlegged,PDF p.2 contribution summary; p.8 conclusion,Direct typed evidence link.
CE-EFF-0064,CL-EFF-023,QE-EFF-0186,supports,none,not_applicable,kalashnikov2018qtopt,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,Direct typed evidence link.
CE-EFF-0065,CL-EFF-023,QE-EFF-0307,supports,none,not_applicable,cully2015adaptanimals,PDF p.1 abstract; Methods pp.18 and 20,Direct typed evidence link.
CE-EFF-0066,CL-EFF-023,QE-EFF-0340,supports,none,not_applicable,zhou2023realorl,PDF pp.1–2 abstract/introduction; p.5 dataset table; p.10 appendix summary; p.16 compute appendix,Direct typed evidence link.
CE-EFF-0067,CL-EFF-024,QE-EFF-0305,supports,none,not_applicable,cully2015adaptanimals,PDF p.1 abstract; Methods pp.18 and 20,Direct typed evidence link.
CE-EFF-0068,CL-EFF-024,QE-EFF-0250,supports,none,not_applicable,chebotar2023qtransformer,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,Direct typed evidence link.
CE-EFF-0069,CL-EFF-024,QE-EFF-0107,supports,none,not_applicable,sharma2026worldgymnast,"PDF pp.4–7,15–16; appendix A.4 Table 5",Direct typed evidence link.
CE-EFF-0070,CL-EFF-024,QE-EFF-0360,supports,none,not_applicable,lancaster2024modemv2,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,Direct typed evidence link.
CE-EFF-0071,CL-EFF-024,QE-EFF-0327,supports,none,not_applicable,johannink2019residual,PDF pp.5–6 Sec. IV and physical result figures,Direct typed evidence link.
CE-EFF-0072,CL-EFF-011,TR-EFF-001,audited_non_member,tier.assigned_tier=E4,0,luo2024serl,"PDF p.8 Table 2; pp.4,8",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0073,CL-EFF-011,TR-EFF-002,audited_non_member,tier.assigned_tier=E4,0,luo2025hilserl,"PDF p.13 Table 1; pp.15,33–49",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0074,CL-EFF-011,TR-EFF-003,audited_non_member,tier.assigned_tier=E4,0,liu2026autoserl,PDF p.10 Table 1; p.12 Table 2; limitation section,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0075,CL-EFF-011,TR-EFF-004,audited_non_member,tier.assigned_tier=E4,0,walke2023ariel,Main PDF pp.6–7; supplement p.14 Table 5,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0076,CL-EFF-011,TR-EFF-005,audited_non_member,tier.assigned_tier=E4,0,sun2022relmm,"PDF pp.1–2,5–6; Table 1",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0077,CL-EFF-011,TR-EFF-006,audited_non_member,tier.assigned_tier=E4,0,hu2023reboot,PDF pp.7–8; appendix E/F p.20,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0078,CL-EFF-011,TR-EFF-007,audited_non_member,tier.assigned_tier=E4,0,mendonca2025continuous,"PDF pp.4,7–8,16",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0079,CL-EFF-011,TR-EFF-008,audited_non_member,tier.assigned_tier=E4,0,stachowicz2023fastrlap,"PDF pp.2–7,10; p.14 Table 4",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0080,CL-EFF-011,TR-EFF-009,audited_non_member,tier.assigned_tier=E4,0,hu2025robottrainsrobot,"PDF pp.2,6",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0081,CL-EFF-011,TR-EFF-010,audited_non_member,tier.assigned_tier=E4,0,sharma2026worldgymnast,"PDF pp.4–7,15–16; appendix A.4 Table 5",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0082,CL-EFF-011,TR-EFF-011,audited_non_member,tier.assigned_tier=E4,0,zhao2025silri,"PDF pp.5,7,9–10,13 Table II",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0083,CL-EFF-011,TR-EFF-012,audited_non_member,tier.assigned_tier=E4,0,yin2026playworld,"PDF pp.2,4–7,10,23",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0084,CL-EFF-011,TR-EFF-015,audited_non_member,tier.assigned_tier=E4,0,haarnoja2019walk,PDF p.1 abstract; p.7 Sec. V-A; p.8 Sec. VI,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0085,CL-EFF-011,TR-EFF-016,audited_non_member,tier.assigned_tier=E4,0,zhan2022ferm,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0086,CL-EFF-011,TR-EFF-017,audited_non_member,tier.assigned_tier=E4,0,tebbe2021tabletennis,PDF p.5 Sec. IV; p.6 Sec. V,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0087,CL-EFF-011,TR-EFF-018,audited_non_member,tier.assigned_tier=E4,0,wu2023daydreamer,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0088,CL-EFF-011,TR-EFF-019,audited_non_member,tier.assigned_tier=E4,0,kalashnikov2018qtopt,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0089,CL-EFF-011,TR-EFF-020,audited_non_member,tier.assigned_tier=E4,0,kalashnikov2022mtopt,"PDF p.1 abstract; pp.15–17 appendix, Table IV",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0090,CL-EFF-011,TR-EFF-021,audited_non_member,tier.assigned_tier=E4,0,riedmiller2018sacx,PDF p.8 Sec. 5.4 and physical-robot figure,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0091,CL-EFF-011,TR-EFF-022,audited_non_member,tier.assigned_tier=E4,0,nair2020awac,PDF p.8 Sec. 6.3; p.17 appendix robot-experiment details,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0092,CL-EFF-011,TR-EFF-023,audited_non_member,tier.assigned_tier=E4,0,singh2021cog,PDF p.8 Sec. 5.2 and real-robot table,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0093,CL-EFF-011,TR-EFF-024,audited_non_member,tier.assigned_tier=E4,0,kumar2023ptr,PDF pp.7–9 Sec. 5; pp.14–16 appendix; p.21 appendix,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0094,CL-EFF-011,TR-EFF-025,audited_non_member,tier.assigned_tier=E4,0,chebotar2023qtransformer,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0095,CL-EFF-011,TR-EFF-026,audited_non_member,tier.assigned_tier=E4,0,nair2018rig,PDF pp.8–9 Sec. 5.3,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0096,CL-EFF-011,TR-EFF-027,audited_non_member,tier.assigned_tier=E4,0,gupta2021resetfreemtl,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12",This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0097,CL-EFF-011,TR-EFF-028,audited_non_member,tier.assigned_tier=E4,0,yang2020dataefficientlegged,PDF p.2 contribution summary; p.8 conclusion,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0098,CL-EFF-011,TR-EFF-029,audited_non_member,tier.assigned_tier=E4,0,nagabandi2019metarl,PDF p.9 Sec. 5.4,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0099,CL-EFF-011,TR-EFF-030,audited_non_member,tier.assigned_tier=E4,0,cully2015adaptanimals,PDF p.1 abstract; Methods pp.18 and 20,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0100,CL-EFF-011,TR-EFF-031,audited_non_member,tier.assigned_tier=E4,0,chatzilygeroudis2017blackdrops,Correct PDF p.7 real-robot experiment; p.8 computational-cost discussion,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0101,CL-EFF-011,TR-EFF-032,audited_non_member,tier.assigned_tier=E4,0,johannink2019residual,PDF pp.5–6 Sec. IV and physical result figures,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0102,CL-EFF-011,TR-EFF-033,audited_non_member,tier.assigned_tier=E4,0,zhou2023realorl,PDF pp.1–2 abstract/introduction; p.5 dataset table; p.10 appendix summary; p.16 compute appendix,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0103,CL-EFF-011,TR-EFF-034,audited_non_member,tier.assigned_tier=E4,0,wurss2023locality,PDF p.1 abstract; p.2 Table I; p.3 system; pp.5–6 Secs. IV–V,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0104,CL-EFF-011,TR-EFF-035,audited_non_member,tier.assigned_tier=E4,0,lancaster2024modemv2,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0105,CL-EFF-011,TR-EFF-036,audited_non_member,tier.assigned_tier=E4,0,sharma2023medalpp,PDF p.7 Figs. 5–6 and Table 6,This adjudicated core row is not E4; full 34-work audit establishes the zero count.
CE-EFF-0106,CL-EFF-012,QE-EFF-0043,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,walke2023ariel,Main PDF pp.6–7; supplement p.14 Table 5,Full executable-filter membership; NR is not zero.
CE-EFF-0107,CL-EFF-012,QE-EFF-0065,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,hu2023reboot,PDF pp.7–8; appendix E/F p.20,Full executable-filter membership; NR is not zero.
CE-EFF-0108,CL-EFF-012,QE-EFF-0076,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,mendonca2025continuous,"PDF pp.4,7–8,16",Full executable-filter membership; NR is not zero.
CE-EFF-0109,CL-EFF-012,QE-EFF-0087,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,stachowicz2023fastrlap,"PDF pp.2–7,10; p.14 Table 4",Full executable-filter membership; NR is not zero.
CE-EFF-0110,CL-EFF-012,QE-EFF-0098,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,hu2025robottrainsrobot,"PDF pp.2,6",Full executable-filter membership; NR is not zero.
CE-EFF-0111,CL-EFF-012,QE-EFF-0153,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,zhan2022ferm,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,Full executable-filter membership; NR is not zero.
CE-EFF-0112,CL-EFF-012,QE-EFF-0175,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,wu2023daydreamer,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,Full executable-filter membership; NR is not zero.
CE-EFF-0113,CL-EFF-012,QE-EFF-0186,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,kalashnikov2018qtopt,PDF p.1 abstract; p.2 Sec. 1; p.14 Sec. 5.3; p.21 appendix,Full executable-filter membership; NR is not zero.
CE-EFF-0114,CL-EFF-012,QE-EFF-0219,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,nair2020awac,PDF p.8 Sec. 6.3; p.17 appendix robot-experiment details,Full executable-filter membership; NR is not zero.
CE-EFF-0115,CL-EFF-012,QE-EFF-0252,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,chebotar2023qtransformer,PDF p.2 Sec. 1; p.6 Sec. 4 and evaluation table; p.8 compute paragraph,Full executable-filter membership; NR is not zero.
CE-EFF-0116,CL-EFF-012,QE-EFF-0274,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,gupta2021resetfreemtl,"PDF p.1 abstract; pp.5–8 Secs. V-B and VI-C, Fig. 12",Full executable-filter membership; NR is not zero.
CE-EFF-0117,CL-EFF-012,QE-EFF-0285,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,yang2020dataefficientlegged,PDF p.2 contribution summary; p.8 conclusion,Full executable-filter membership; NR is not zero.
CE-EFF-0118,CL-EFF-012,QE-EFF-0318,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,chatzilygeroudis2017blackdrops,Correct PDF p.7 real-robot experiment; p.8 computational-cost discussion,Full executable-filter membership; NR is not zero.
CE-EFF-0119,CL-EFF-012,QE-EFF-0351,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,wurss2023locality,PDF p.1 abstract; p.2 Table I; p.3 system; pp.5–6 Secs. IV–V,Full executable-filter membership; NR is not zero.
CE-EFF-0120,CL-EFF-012,QE-EFF-0373,missingness_member,quant.metric_name=evaluation_trial_count AND quant.reporting_status=not_reported,15,sharma2023medalpp,PDF p.7 Figs. 5–6 and Table 6,Full executable-filter membership; NR is not zero.
CE-EFF-0121,CL-EFF-013,QE-EFF-0002,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,luo2024serl,"PDF p.8 Table 2; pp.4,8",Full executable-filter membership; NR is not zero.
CE-EFF-0122,CL-EFF-013,QE-EFF-0024,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,liu2026autoserl,PDF p.10 Table 1; p.12 Table 2; limitation section,Full executable-filter membership; NR is not zero.
CE-EFF-0123,CL-EFF-013,QE-EFF-0046,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,sun2022relmm,"PDF pp.1–2,5–6; Table 1",Full executable-filter membership; NR is not zero.
CE-EFF-0124,CL-EFF-013,QE-EFF-0057,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,hu2023reboot,PDF pp.7–8; appendix E/F p.20,Full executable-filter membership; NR is not zero.
CE-EFF-0125,CL-EFF-013,QE-EFF-0068,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,mendonca2025continuous,"PDF pp.4,7–8,16",Full executable-filter membership; NR is not zero.
CE-EFF-0126,CL-EFF-013,QE-EFF-0079,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,stachowicz2023fastrlap,"PDF pp.2–7,10; p.14 Table 4",Full executable-filter membership; NR is not zero.
CE-EFF-0127,CL-EFF-013,QE-EFF-0101,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,sharma2026worldgymnast,"PDF pp.4–7,15–16; appendix A.4 Table 5",Full executable-filter membership; NR is not zero.
CE-EFF-0128,CL-EFF-013,QE-EFF-0112,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,zhao2025silri,"PDF pp.5,7,9–10,13 Table II",Full executable-filter membership; NR is not zero.
CE-EFF-0129,CL-EFF-013,QE-EFF-0123,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,yin2026playworld,"PDF pp.2,4–7,10,23",Full executable-filter membership; NR is not zero.
CE-EFF-0130,CL-EFF-013,QE-EFF-0145,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,zhan2022ferm,PDF p.3 Sec. III; p.4 Sec. IV and Fig. 4,Full executable-filter membership; NR is not zero.
CE-EFF-0131,CL-EFF-013,QE-EFF-0156,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,tebbe2021tabletennis,PDF p.5 Sec. IV; p.6 Sec. V,Full executable-filter membership; NR is not zero.
CE-EFF-0132,CL-EFF-013,QE-EFF-0167,missingness_member,quant.metric_name=physical_steps_or_transitions AND quant.reporting_status=not_reported,22,wu2023daydreamer,PDF p.5 Sec. 4.1; pp.6–8 Secs. 4.2–4.4; p.13 appendix figure,Full executable-filter membership; NR is not zero.
