claim_id,work_id,metric_family,metric_name,value,unit,denominator,comparison_baseline,physical_platform,evidence_locator,source_grade,reporting_status,interpretation_limit
QE-EFF-0012,luo2025hilserl,time,reported_phase_duration,1–6 h per policy,as reported (minutes/hours),source-reported phase/task summary; atomic boundaries are in time_ontology.csv,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Summary index only; values across phases or tasks must not be added. Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0013,luo2025hilserl,physical_interaction,physical_steps_or_transitions,derived 438000 across appendix task rows,steps/transitions,reported physical collection or fine-tuning scope,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,derived,Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0014,luo2025hilserl,physical_interaction,physical_episodes_or_rollouts,NR,NR,NR,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0015,luo2025hilserl,control,control_frequency,NR,NR,NR,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0016,luo2025hilserl,time,active_or_aggregate_robot_hours,NR,NR,NR,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0017,luo2025hilserl,time,elapsed_wall_clock,1–6 h per policy,elapsed minutes/hours,"reported run or task; inclusion of setup, reset, compute, and downtime is source-specific",NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0018,luo2025hilserl,parallelism,primary_data_robot_count,NR,NR,NR,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0019,luo2025hilserl,compute,reported_compute_resource_or_duration,NR,NR,NR,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0020,luo2025hilserl,human_input,demonstration_count,20 initial demonstrations for 11 policies; 30 for Jenga; derived 250 total,demonstrations/trajectories,per task or aggregate exactly as stated in value,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,derived,"Demonstration count does not report collection skill, duration, discarded attempts, or labeling cost. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals"
QE-EFF-0021,luo2025hilserl,evaluation,evaluation_trial_count,usually 100; composite 10,trials/rollouts/windows/checkpoints,reported task or policy evaluation,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,source_reported_approximate,Task-specific evaluation definitions and denominators limit cross-work comparison. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0022,luo2025hilserl,performance,reported_success_result,100% on listed individual tasks; composite IKEA whole assembly uses 10 trials,task-defined success/result,success definition recorded for the work,NR,Franka arms and task fixtures,"PDF p.13 Table 1; pp.15,33–49",A,source_reported,Task-specific evaluation definitions and denominators limit cross-work comparison. Abstract 1–2.5 h does not cover 6 h timing-belt row; derived totals are not study totals
QE-EFF-0023,liu2026autoserl,time,reported_phase_duration,8–45 min per task,as reported (minutes/hours),source-reported phase/task summary; atomic boundaries are in time_ontology.csv,Comparator embedded in value; use the same task/protocol and inspect locator,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Summary index only; values across phases or tasks must not be added. Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0024,liu2026autoserl,physical_interaction,physical_steps_or_transitions,NR,NR,NR,NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,not_reported,Metric is NR in the verified source audit; NR is not zero. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0025,liu2026autoserl,physical_interaction,physical_episodes_or_rollouts,NR,NR,NR,NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,not_reported,Metric is NR in the verified source audit; NR is not zero. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0026,liu2026autoserl,control,control_frequency,NR,NR,NR,NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,not_reported,Metric is NR in the verified source audit; NR is not zero. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0027,liu2026autoserl,time,active_or_aggregate_robot_hours,NR,NR,NR,NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,not_reported,Metric is NR in the verified source audit; NR is not zero. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0028,liu2026autoserl,time,elapsed_wall_clock,8–45 min per task,elapsed minutes/hours,"reported run or task; inclusion of setup, reset, compute, and downtime is source-specific",NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0029,liu2026autoserl,parallelism,primary_data_robot_count,NR,NR,NR,NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,not_reported,Metric is NR in the verified source audit; NR is not zero. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0030,liu2026autoserl,compute,reported_compute_resource_or_duration,NR,NR,NR,NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,not_reported,Metric is NR in the verified source audit; NR is not zero. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0031,liu2026autoserl,human_input,demonstration_count,1,demonstrations/trajectories,per task or aggregate exactly as stated in value,NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,"Demonstration count does not report collection skill, duration, discarded attempts, or labeling cost. Preprint; restricted failure model; no end-to-end labor accounting"
QE-EFF-0032,liu2026autoserl,evaluation,evaluation_trial_count,50,trials/rollouts/windows/checkpoints,reported task or policy evaluation,NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Task-specific evaluation definitions and denominators limit cross-work comparison. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0033,liu2026autoserl,performance,reported_success_result,50/50 for all six tasks,task-defined success/result,success definition recorded for the work,NR,robot manipulators; exact platforms in paper,PDF p.10 Table 1; p.12 Table 2; limitation section,B,source_reported,Task-specific evaluation definitions and denominators limit cross-work comparison. Preprint; restricted failure model; no end-to-end labor accounting
QE-EFF-0034,walke2023ariel,time,reported_phase_duration,100 trials≈1.5 h for four demo-assisted tasks; 600 trials≈9 h for three direct-transfer tasks,as reported (minutes/hours),source-reported phase/task summary; atomic boundaries are in time_ontology.csv,NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,source_reported_approximate,Summary index only; values across phases or tasks must not be added. Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0035,walke2023ariel,physical_interaction,physical_steps_or_transitions,derived 361000 inherited transitions,steps/transitions,reported physical collection or fine-tuning scope,NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,derived,Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0036,walke2023ariel,physical_interaction,physical_episodes_or_rollouts,100 or 600,episodes/rollouts/attempts,"reported physical collection, controller tests, or task run",NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,source_reported,Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0037,walke2023ariel,control,control_frequency,NR,NR,NR,NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,not_reported,Metric is NR in the verified source audit; NR is not zero. Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0038,walke2023ariel,time,active_or_aggregate_robot_hours,"derived inherited corpus, not new-task hours",robot-hours,reported physical interaction or corpus-collection scope,NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,derived,Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0039,walke2023ariel,time,elapsed_wall_clock,1.5 or 9 h new-task checkpoints,elapsed minutes/hours,"reported run or task; inclusion of setup, reset, compute, and downtime is source-specific",NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,source_reported,Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0040,walke2023ariel,parallelism,primary_data_robot_count,1,robots,primary learner or physical data-collection fleet; helper/reset/evaluation hardware is separated in hardware_roles.csv,NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,source_reported,Elapsed speedup and aggregate robot-hours must be separated. Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0041,walke2023ariel,compute,reported_compute_resource_or_duration,NR,NR,NR,NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,not_reported,Metric is NR in the verified source audit; NR is not zero. Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0042,walke2023ariel,human_input,demonstration_count,about 40 for demonstration-assisted setting,demonstrations/trajectories,per task or aggregate exactly as stated in value,NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,source_reported_approximate,"Demonstration count does not report collection skill, duration, discarded attempts, or labeling cost. Inherited corpus totals are derived; method is mostly rather than fully autonomous"
QE-EFF-0043,walke2023ariel,evaluation,evaluation_trial_count,NR,NR,NR,NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,not_reported,Metric is NR in the verified source audit; NR is not zero. Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0044,walke2023ariel,performance,reported_success_result,task-specific results in paper,task-defined success/result,success definition recorded for the work,NR,three real-robot manipulation domains,Main PDF pp.6–7; supplement p.14 Table 5,A,source_reported,Task-specific evaluation definitions and denominators limit cross-work comparison. Inherited corpus totals are derived; method is mostly rather than fully autonomous
QE-EFF-0045,sun2022relmm,time,reported_phase_duration,about 25–50 h per environment run; headline approximately 40–60 h,as reported (minutes/hours),source-reported phase/task summary; atomic boundaries are in time_ontology.csv,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,source_reported_approximate,Summary index only; values across phases or tasks must not be added. Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0046,sun2022relmm,physical_interaction,physical_steps_or_transitions,NR,NR,NR,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0047,sun2022relmm,physical_interaction,physical_episodes_or_rollouts,NR,NR,NR,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0048,sun2022relmm,control,control_frequency,NR,NR,NR,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0049,sun2022relmm,time,active_or_aggregate_robot_hours,25–50 h per run; 40–60 h headline,robot-hours,reported physical interaction or corpus-collection scope,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,source_reported,Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0050,sun2022relmm,time,elapsed_wall_clock,same as robot interaction within disclosed maintenance,elapsed minutes/hours,"reported run or task; inclusion of setup, reset, compute, and downtime is source-specific",NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,source_reported,Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0051,sun2022relmm,parallelism,primary_data_robot_count,1,robots,primary learner or physical data-collection fleet; helper/reset/evaluation hardware is separated in hardware_roles.csv,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,source_reported,Elapsed speedup and aggregate robot-hours must be separated. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0052,sun2022relmm,compute,reported_compute_resource_or_duration,NR,NR,NR,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0053,sun2022relmm,human_input,demonstration_count,0,demonstrations/trajectories,per task or aggregate exactly as stated in value,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,source_reported,"Demonstration count does not report collection skill, duration, discarded attempts, or labeling cost. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum"
QE-EFF-0054,sun2022relmm,evaluation,evaluation_trial_count,3 evaluation windows,trials/rollouts/windows/checkpoints,reported task or policy evaluation,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,source_reported,Task-specific evaluation definitions and denominators limit cross-work comparison. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0055,sun2022relmm,performance,reported_success_result,task-specific mean±SD in Table 1,task-defined success/result,success definition recorded for the work,NR,mobile manipulator,"PDF pp.1–2,5–6; Table 1",A,source_reported,Task-specific evaluation definitions and denominators limit cross-work comparison. Pseudo-reset does not restore a fixed initial state; autonomy depends on curriculum
QE-EFF-0056,hu2023reboot,time,reported_phase_duration,6 h versus >10 h; 6 versus 13 h; 5 h versus ≥16 h comparison,as reported (minutes/hours),source-reported phase/task summary; atomic boundaries are in time_ontology.csv,Comparator embedded in value; use the same task/protocol and inspect locator,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,source_reported_approximate,Summary index only; values across phases or tasks must not be added. Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0057,hu2023reboot,physical_interaction,physical_steps_or_transitions,NR,NR,NR,NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,not_reported,Metric is NR in the verified source audit; NR is not zero. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0058,hu2023reboot,physical_interaction,physical_episodes_or_rollouts,NR,NR,NR,NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,not_reported,Metric is NR in the verified source audit; NR is not zero. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0059,hu2023reboot,control,control_frequency,NR,NR,NR,NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,not_reported,Metric is NR in the verified source audit; NR is not zero. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0060,hu2023reboot,time,active_or_aggregate_robot_hours,NR,NR,NR,NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,not_reported,Metric is NR in the verified source audit; NR is not zero. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0061,hu2023reboot,time,elapsed_wall_clock,5–6 h method runs in cited comparisons,elapsed minutes/hours,"reported run or task; inclusion of setup, reset, compute, and downtime is source-specific",NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,source_reported,Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0062,hu2023reboot,parallelism,primary_data_robot_count,1,robots,primary learner or physical data-collection fleet; helper/reset/evaluation hardware is separated in hardware_roles.csv,NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,source_reported,Elapsed speedup and aggregate robot-hours must be separated. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0063,hu2023reboot,compute,reported_compute_resource_or_duration,NR,NR,NR,NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,not_reported,Metric is NR in the verified source audit; NR is not zero. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0064,hu2023reboot,human_input,demonstration_count,0 task demonstrations; 220 reset demonstrations derived across objects,demonstrations/trajectories,per task or aggregate exactly as stated in value,NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,derived,"Demonstration count does not report collection skill, duration, discarded attempts, or labeling cost. Online loop autonomy begins after substantial setup; reset reliability is imperfect"
QE-EFF-0065,hu2023reboot,evaluation,evaluation_trial_count,NR,NR,NR,NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,not_reported,Metric is NR in the verified source audit; NR is not zero. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0066,hu2023reboot,performance,reported_success_result,6 h to comparable 80%; 6 h to 60%; 5 h to 30% on listed comparisons,task-defined success/result,success definition recorded for the work,NR,custom dexterous hand/camera system,PDF pp.7–8; appendix E/F p.20,A,source_reported,Task-specific evaluation definitions and denominators limit cross-work comparison. Online loop autonomy begins after substantial setup; reset reliability is imperfect
QE-EFF-0067,mendonca2025continuous,time,reported_phase_duration,8–15 h per robot training run,as reported (minutes/hours),source-reported phase/task summary; atomic boundaries are in time_ontology.csv,NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,source_reported,"Summary index only; values across phases or tasks must not be added. Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0068,mendonca2025continuous,physical_interaction,physical_steps_or_transitions,NR,NR,NR,NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,not_reported,"Metric is NR in the verified source audit; NR is not zero. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0069,mendonca2025continuous,physical_interaction,physical_episodes_or_rollouts,NR,NR,NR,NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,not_reported,"Metric is NR in the verified source audit; NR is not zero. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0070,mendonca2025continuous,control,control_frequency,NR,NR,NR,NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,not_reported,"Metric is NR in the verified source audit; NR is not zero. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0071,mendonca2025continuous,time,active_or_aggregate_robot_hours,8–15 h per run,robot-hours,reported physical interaction or corpus-collection scope,NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,source_reported,"Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0072,mendonca2025continuous,time,elapsed_wall_clock,8–15 h per run,elapsed minutes/hours,"reported run or task; inclusion of setup, reset, compute, and downtime is source-specific",NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,source_reported,"Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0073,mendonca2025continuous,parallelism,primary_data_robot_count,1,learner robot,primary learner or physical data-collection fleet; helper/reset/evaluation hardware is separated in hardware_roles.csv,one additional helper/reset robot is recorded separately,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,source_reported,Primary learner count is one; peak system hardware is two robots because a second robot resets the sweeping object.
QE-EFF-0074,mendonca2025continuous,compute,reported_compute_resource_or_duration,local A5000; cloud A100,hardware or compute-time as reported,"reported training job, model, or online system",NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,source_reported,"Compute descriptions are not hardware-normalized and missing compute is not zero. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0075,mendonca2025continuous,human_input,demonstration_count,0,demonstrations/trajectories,per task or aggregate exactly as stated in value,NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,source_reported,"Demonstration count does not report collection skill, duration, discarded attempts, or labeling cost. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0076,mendonca2025continuous,evaluation,evaluation_trial_count,NR,NR,NR,NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,not_reported,"Metric is NR in the verified source audit; NR is not zero. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0077,mendonca2025continuous,performance,reported_success_result,"100%, 80%, 60%, 80%; 80% unweighted average",task-defined success/result,success definition recorded for the work,NR,Boston Dynamics Spot; second Spot on sweeping,"PDF pp.4,7–8,16",A,source_reported,"Task-specific evaluation definitions and denominators limit cross-work comparison. 8–15 h is per run, not total study budget; trial denominator NR"
QE-EFF-0078,stachowicz2023fastrlap,time,reported_phase_duration,typically <20 min and as little as 5 min; figures extend to 30–40 min,as reported (minutes/hours),source-reported phase/task summary; atomic boundaries are in time_ontology.csv,NR,small autonomous ground vehicle,"PDF pp.2–7,10; p.14 Table 4",A,source_reported_approximate,Summary index only; values across phases or tasks must not be added. Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Headline under-20-minute claim must be kept beside longer plot horizon
QE-EFF-0079,stachowicz2023fastrlap,physical_interaction,physical_steps_or_transitions,NR,NR,NR,NR,small autonomous ground vehicle,"PDF pp.2–7,10; p.14 Table 4",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Headline under-20-minute claim must be kept beside longer plot horizon
QE-EFF-0080,stachowicz2023fastrlap,physical_interaction,physical_episodes_or_rollouts,NR,NR,NR,NR,small autonomous ground vehicle,"PDF pp.2–7,10; p.14 Table 4",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Headline under-20-minute claim must be kept beside longer plot horizon
QE-EFF-0081,stachowicz2023fastrlap,control,control_frequency,NR,NR,NR,NR,small autonomous ground vehicle,"PDF pp.2–7,10; p.14 Table 4",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Headline under-20-minute claim must be kept beside longer plot horizon
QE-EFF-0082,stachowicz2023fastrlap,time,active_or_aggregate_robot_hours,NR,NR,NR,NR,small autonomous ground vehicle,"PDF pp.2–7,10; p.14 Table 4",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Headline under-20-minute claim must be kept beside longer plot horizon
QE-EFF-0083,stachowicz2023fastrlap,time,elapsed_wall_clock,5–40 min depending claim/plot,elapsed minutes/hours,"reported run or task; inclusion of setup, reset, compute, and downtime is source-specific",NR,small autonomous ground vehicle,"PDF pp.2–7,10; p.14 Table 4",A,source_reported,Time boundary is source-specific and is not automatically an end-to-end lifecycle cost. Headline under-20-minute claim must be kept beside longer plot horizon
QE-EFF-0084,stachowicz2023fastrlap,parallelism,primary_data_robot_count,1,robots,primary learner or physical data-collection fleet; helper/reset/evaluation hardware is separated in hardware_roles.csv,NR,small autonomous ground vehicle,"PDF pp.2–7,10; p.14 Table 4",A,source_reported,Elapsed speedup and aggregate robot-hours must be separated. Headline under-20-minute claim must be kept beside longer plot horizon
QE-EFF-0085,stachowicz2023fastrlap,compute,reported_compute_resource_or_duration,NR,NR,NR,NR,small autonomous ground vehicle,"PDF pp.2–7,10; p.14 Table 4",A,not_reported,Metric is NR in the verified source audit; NR is not zero. Headline under-20-minute claim must be kept beside longer plot horizon
